Subject,L_I_II,L_III,L_IV,L_V,L_VI,L_Crus_I,L_Crus_II,L_VIIB,L_VIIIA,L_VIIIB,L_IX,L_X,L_CM,R_I_II,R_III,R_IV,R_V,R_VI,R_Crus_I,R_Crus_II,R_VIIB,R_VIIIA,R_VIIIB,R_IX,R_X,R_CM
output/fusion/majority_vote/sub-3172_run-1_desc-masked_preproc_T1w_labels.mnc,63.0001,729.001,1968,3684.01,7761.01,13393,7582.01,3590.01,5139.01,3651.01,3549.01,629.001,7519.01,89.0001,865.001,1959,4068.01,7493.01,14469,8885.01,4537.01,3917.01,3597.01,3431.01,675.001,7768.01
output/fusion/majority_vote/sub-3188_run-1_desc-masked_preproc_T1w_labels.mnc,59,669,1962,3200,6958,12346,6620,3202,4926,2701,3079,579,6747,86,830,1800,3626,6828,13783,7451,4181,3490,3033,3055,684,6893
output/fusion/majority_vote/sub-3191_run-1_desc-masked_preproc_T1w_labels.mnc,64,888,2298,3227,6853,12029,7773,3468,4461,3453,3652,596,6289,81,848,2216,3489,7533,12696,8364,3936,3520,3709,3661,666,6375
output/fusion/majority_vote/sub-3257_run-1_desc-masked_preproc_T1w_labels.mnc,82.1173,859.895,1960.8,4230.71,9910.16,13252.3,9185.79,4360.9,6751.64,3530.38,3537.72,810.491,10235.3,83.4525,794.468,1418.03,4201.33,10945.6,14357.2,10529.7,5787.6,5322.27,3910.25,3781.4,797.806,10682.6
output/fusion/majority_vote/sub-3260_run-1_desc-masked_preproc_T1w_labels.mnc,123.511,951.369,2195.16,3964.37,8465.52,14370.7,8582.35,4030.47,5782.32,3493.7,3052.39,619.558,9044.35,161.566,1311.22,1831.3,3556.45,7405.99,16526.5,9213.93,4643.35,4039.81,3320.78,2906.85,832.532,10281.5
output/fusion/majority_vote/sub-3264_run-1_desc-masked_preproc_T1w_labels.mnc,60.7541,860.572,2298.64,3544.44,7671.04,12711,7504.13,3845.54,6270.36,3535.09,3593.84,724.376,8402.09,77.4448,863.243,1688.43,3820.83,7793.22,14437.4,9590.47,4352.26,4433.05,3320.78,3611.2,710.356,8932.86
output/fusion/majority_vote/sub-3270_run-1_desc-masked_preproc_T1w_labels.mnc,92.8002,867.248,1795.92,3474.33,8184.45,13289.8,6754.39,4001.76,4846.31,3448.96,3146.53,684.318,7558.21,113.497,940.687,1296.53,3597.85,9100.43,14102.3,7584.25,3854.88,3768.76,3435.61,3730.04,919.323,7788.54
output/fusion/majority_vote/sub-3271_run-1_desc-masked_preproc_T1w_labels.mnc,74.1059,775.775,2289.27,5276.2,8344.59,13363.1,9201.81,4876.3,6602.1,3886.22,3454.27,809.156,8853.98,107.487,850.548,1621.65,5021.84,8028.13,14311.8,11902.3,4962.42,4584.55,3977.68,3884.22,956.7,9087.65
output/fusion/majority_vote/sub-3274_run-1_desc-masked_preproc_T1w_labels.mnc,64.0916,728.374,2410.78,4238.05,6664.19,15661,10775.4,3864.19,5609.35,3545.06,3884.22,677.635,8104.91,88.1259,862.566,2159.75,4495.76,8389.32,16462.9,11690.7,5561.28,4260.75,3999.05,4012.4,859.227,8495.47
output/fusion/majority_vote/sub-3276_run-1_desc-masked_preproc_T1w_labels.mnc,50.7397,820.514,2825.4,3773.43,9730.67,11716.2,8227.84,3947.01,5517.27,2888.16,3163.89,674.304,8153.74,70.1009,854.563,1817.95,3607.19,6985.39,13233,10316.9,4170,4658.71,3483.68,3392.88,710.356,8619.07
output/fusion/majority_vote/sub-3277_run-1_desc-masked_preproc_T1w_labels.mnc,54.7449,644.921,2082.98,4081.16,8586.93,11089.2,10327.4,4720.08,6510.63,3206.58,3855.51,684.311,10197.2,78.1116,820.505,1791.23,4371.58,9055.6,13060,10137.8,5065.9,4685.36,3328.09,4045.11,678.97,10406.2
output/fusion/majority_vote/sub-3300_run-1_desc-masked_preproc_T1w_labels.mnc,82,935,2014,4285,8356,11165,8953,4612,6764,3486,3537,472,8598,107,1024,1745,4823,8591,13389,12768,4810,4627,3466,3379,585,8901
output/fusion/majority_vote/sub-3301_run-1_desc-masked_preproc_T1w_labels.mnc,66,827,2146,3507,6215,10548,7103,3486,4905,2982,2215,426,7662,110,947,1848,3526,6746,12060,9917,4176,3793,3196,2484,607,7925
output/fusion/majority_vote/sub-3310_run-1_desc-masked_preproc_T1w_labels.mnc,70.9999,616.999,1762,3082,6551.99,11691,7222.99,2893,4786,3052,3078,531,6901.99,76.9999,754.999,1594,3552,6738.99,12305,8571.99,4358,3479,3104,3068,561,7051.99
output/fusion/majority_vote/sub-3316_run-1_desc-masked_preproc_T1w_labels.mnc,output/fusion/majority_vote/sub-3318_run-1_desc-masked_preproc_T1w_labels.mnc,55.0002,830.003,2064.01,4009.01,9722.03,11890,8283.03,3990.01,5688.02,3460.01,3566.01,562.002,7470.02,82.0003,969.003,1728.01,4213.01,10650,14049,9469.03,5242.02,4193.01,3198.01,3517.01,766.002,7649.02
output/fusion/majority_vote/sub-3320_run-1_desc-masked_preproc_T1w_labels.mnc,66,854,2278,3992,9044,10982,9240,4734,5744,3452,2953,528,9161,90,881,1834,4470,9815,11499,11062,5318,4165,3242,2991,620,9452
output/fusion/majority_vote/sub-3350_run-1_desc-masked_preproc_T1w_labels.mnc,68,888,2108,3333,7210,10917,8502,4564,6043,3269,3077,607,8096,81,881,1740,3885,7216,13029,11751,5234,4823,3607,3100,589,8407
output/fusion/majority_vote/sub-3351_run-1_desc-masked_preproc_T1w_labels.mnc,71.9999,694.999,1890,3915.99,7686.99,9354.98,6923.99,3977.99,4517.99,2863,3753.99,612.999,6801.99,97.9998,758.999,1692,3976.99,8257.99,11834,7177.99,4039.99,3842.99,3511.99,3773.99,721.999,6838.99
output/fusion/majority_vote/sub-3353_run-1_desc-masked_preproc_T1w_labels.mnc,119,1086,3087,4049,9109,12107,9141,5483,5576,3344,3912,548,9696,105,948,2480,4321,10158,13890,11683,5332,4938,3689,3942,685,10049
output/fusion/majority_vote/sub-3355_run-1_desc-masked_preproc_T1w_labels.mnc,67,972,2202,3651,6902,12591,8455,3830,4684,2934,3449,480,8183,113,951,1823,4068,8338,14712,9747,5199,4358,3166,3565,653,8426
output/fusion/majority_vote/sub-3357_run-1_desc-masked_preproc_T1w_labels.mnc,70,837,2487,4095,8963,13248,9016,4228,6150,3411,4086,642,9402,134,1049,1996,4455,9084,14135,10820,4920,4814,3698,3674,686,10066
output/fusion/majority_vote/sub-3358_run-1_desc-masked_preproc_T1w_labels.mnc,71,785,2170,4551,7185,14883,9699,4359,5808,3862,4187,623,8874,106,893,1668,4597,7946,17114,11828,4648,4345,3525,4295,695,9226
output/fusion/majority_vote/sub-3361_run-1_desc-masked_preproc_T1w_labels.mnc,67,1066,2340,3909,8452,13775,6946,3505,6005,3188,3862,585,7240,118,953.999,1665,4039,9861.99,13584,8421,4694,4459,3168,3884,683,7617
output/fusion/majority_vote/sub-3362_run-1_desc-masked_preproc_T1w_labels.mnc,61.9888,968.933,3231.05,3928.18,8173.94,11238.1,8181.57,4263.88,4567.15,3315.93,3098.49,580.788,8951.19,89.6454,949.86,1905.44,4035,9615.9,12091.6,8899.69,4220.01,3767.97,3182.41,3489.49,649.452,8772.85
output/fusion/majority_vote/sub-3368_run-1_desc-masked_preproc_T1w_labels.mnc,101.999,843.995,2414.99,3588.98,7184.96,12060.9,7493.96,3700.98,4960.97,3397.98,2789.98,526.997,7582.96,135.999,1031.99,1780.99,3743.98,8506.95,12712.9,8124.95,4403.97,4359.97,3328.98,2649.98,672.996,7682.95
output/fusion/majority_vote/sub-3369_run-1_desc-masked_preproc_T1w_labels.mnc,70,806.999,1963,3424,6671,13487,7861.99,4037,4881,2328,2711,539,7365,89.9999,833.999,1699,3586,7846.99,14351,9164.99,4392,3590,2360,2466,653,7810.99
output/fusion/majority_vote/sub-3370_run-1_desc-masked_preproc_T1w_labels.mnc,81.0623,880.241,2209.66,4130.36,7765.77,16285.9,8098.6,4099.85,5105.02,3629.68,4264.83,540.733,9119.03,98.2285,958.443,1817.7,4293.44,8193.02,18263.8,10220.5,4888.53,4069.33,3471.37,4062.65,696.182,9367.94
output/fusion/majority_vote/sub-3389_run-1_desc-masked_preproc_T1w_labels.mnc,68,966,2614,4019,8781,12822,8955,4126,5126,3205,3454,607,8430,100,976,2100,4620,8814,13705,9554,4874,4857,3367,3530,730,8741
output/fusion/majority_vote/sub-3390_run-1_desc-masked_preproc_T1w_labels.mnc,64,907,2070,4338,7134,13026,7195,3314,5314,3321,2992,514,8103,82,999,1703,4625,8730,14415,8274,4441,4215,3182,3107,639,8253
output/fusion/majority_vote/sub-3503_run-1_desc-masked_preproc_T1w_labels.mnc,71.657,650.031,1429.05,3098.65,6635.44,7631.47,7172.87,3204.09,4529.75,3147.79,2987.07,525.143,6582.21,74.728,760.588,1330.77,3295.2,6877.02,8380.8,8423.79,3788.61,3499.93,3108.89,2672.81,608.061,6693.79
output/fusion/majority_vote/sub-3515_run-1_desc-masked_preproc_T1w_labels.mnc,38.8991,649.001,1742.27,3211.23,7396.98,9645.96,7295.64,3246.03,4685.3,2566.32,2414.82,581.44,7050.98,54.2541,742.155,1409.58,3310.52,7370.36,10944,7562.81,4335.21,3675.97,2567.34,2666.64,649.001,7133.9
output/fusion/majority_vote/sub-3517_run-1_desc-masked_preproc_T1w_labels.mnc,66.5388,726.809,2056.56,3230.72,8951.01,12298.4,7706.22,3542.94,5204.36,3217.41,3972.88,579.4,8709.42,118.746,807.679,1760.72,3621.76,9145.51,12576.9,9863.1,4485.74,3576.72,2979.92,3732.32,636.726,8606.03
output/fusion/majority_vote/sub-3518_run-1_desc-masked_preproc_T1w_labels.mnc,53.231,830.198,2838.64,3973.9,7408.32,10982,7199.49,3322.84,4839.92,3150.86,3400.64,584.517,7710.3,62.444,820.985,1662.44,4092.64,8011.26,12905.4,8754.45,3814.2,3608.45,3336.15,3720.03,755.47,7786.05
output/fusion/majority_vote/sub-3519_run-1_desc-masked_preproc_T1w_labels.mnc,output/fusion/majority_vote/sub-3521_run-1_desc-masked_preproc_T1w_labels.mnc,60.3963,781.057,2133.32,3527.55,6641.54,11275.7,6982.42,3104.78,4778.47,3324.87,3743.55,594.75,7639.62,72.6803,846.572,1546.76,3738.43,8039.87,11208.1,8107.43,4469.32,3620.71,2751.61,3575.66,628.531,7810.57
output/fusion/majority_vote/sub-3523_run-1_desc-masked_preproc_T1w_labels.mnc,90.0823,941.769,2732.15,4164.26,8768.69,13334.2,8460.57,3609.43,5925.98,3523.45,3903.22,690.972,7961.02,116.698,946.888,1924.49,4313.71,9447.38,13707.9,9851.73,4456,3917.56,3836.69,3557.23,688.925,7835.11
output/fusion/majority_vote/sub-3525_run-1_desc-masked_preproc_T1w_labels.mnc,65.5148,784.13,2022.77,3948.29,7586.41,11283.9,8920.25,4252.32,6555.57,3570.56,3746.63,616.248,8993.95,96.2248,856.81,1817.01,3350.47,9140.34,11004.4,10131.2,4755.96,4572.73,4102.86,3731.27,653.1,9033.87
output/fusion/majority_vote/sub-3526_run-1_desc-masked_preproc_T1w_labels.mnc,89.0592,990.911,2587.83,3621.74,7908.86,11645.3,9701.31,3721.04,6138.94,3682.14,3561.34,733.97,8506.69,99.2959,1135.25,2189.63,4216.49,7863.82,12771.3,11765,4877.78,3725.13,3697.49,3815.21,730.899,8574.25
output/fusion/majority_vote/sub-3527_run-1_desc-masked_preproc_T1w_labels.mnc,output/fusion/majority_vote/sub-3541_run-1_desc-masked_preproc_T1w_labels.mnc,47.0891,849.651,2901.1,4372.12,9028.82,13192.1,6451.2,3239.93,5257.6,4038.4,3952.41,645.939,8575.33,93.1545,1047.22,2254.13,5160.35,7579.29,14726.6,8448.39,3387.34,3794.77,3746.65,3554.2,790.278,8793.37
output/fusion/majority_vote/sub-3551_run-1_desc-masked_preproc_T1w_labels.mnc,94,1012,2334,4173,6864,13564,7519,3275,4790,3112,3217,429,7719,73,1104,2008,3555,8153,12598,8460,3980,4083,3466,3339,592,8179
