lh.aparc.area	lh_bankssts_area	lh_caudalanteriorcingulate_area	lh_caudalmiddlefrontal_area	lh_cuneus_area	lh_entorhinal_area	lh_fusiform_area	lh_inferiorparietal_area	lh_inferiortemporal_area	lh_isthmuscingulate_area	lh_lateraloccipital_area	lh_lateralorbitofrontal_area	lh_lingual_area	lh_medialorbitofrontal_area	lh_middletemporal_area	lh_parahippocampal_area	lh_paracentral_area	lh_parsopercularis_area	lh_parsorbitalis_area	lh_parstriangularis_area	lh_pericalcarine_area	lh_postcentral_area	lh_posteriorcingulate_area	lh_precentral_area	lh_precuneus_area	lh_rostralanteriorcingulate_area	lh_rostralmiddlefrontal_area	lh_superiorfrontal_area	lh_superiorparietal_area	lh_superiortemporal_area	lh_supramarginal_area	lh_frontalpole_area	lh_temporalpole_area	lh_transversetemporal_area	lh_insula_area	lh_WhiteSurfArea_area	BrainSegVolNotVent	eTIV
sub-002S0413	768.0	655.0	2178.0	1517.0	491.0	3182.0	3984.0	3170.0	956.0	5223.0	2567.0	2987.0	1872.0	2583.0	560.0	1180.0	1424.0	654.0	1102.0	1617.0	3582.0	1127.0	4518.0	3495.0	853.0	5456.0	7300.0	6252.0	3542.0	3713.0	288.0	470.0	373.0	1999.0	81633.6	1043570.0	1434783.667073
sub-003S0907	738.0	537.0	1993.0	1352.0	340.0	2461.0	3616.0	2326.0	896.0	4387.0	2074.0	2535.0	1703.0	2097.0	584.0	1051.0	1426.0	532.0	1060.0	1212.0	3392.0	905.0	4166.0	2772.0	619.0	4388.0	5630.0	4396.0	3242.0	3037.0	214.0	470.0	382.0	2086.0	68608.9	830648.0	1408413.108412
sub-003S4081	683.0	477.0	1524.0	1049.0	326.0	2198.0	3528.0	2462.0	848.0	3967.0	2042.0	2852.0	1419.0	2713.0	482.0	1075.0	1072.0	593.0	960.0	1109.0	2674.0	836.0	3162.0	2945.0	553.0	3978.0	5031.0	4520.0	2572.0	2861.0	219.0	378.0	298.0	1760.0	63155.7	802208.0	1175637.939837
sub-003S4119	897.0	614.0	2693.0	1390.0	520.0	3541.0	4746.0	3637.0	896.0	4984.0	2726.0	2606.0	2332.0	3121.0	738.0	1118.0	1692.0	735.0	1523.0	1502.0	4300.0	1038.0	5470.0	3470.0	816.0	6085.0	7730.0	5108.0	3974.0	3435.0	289.0	518.0	455.0	2429.0	87124.6	1097280.0	1554660.626879
sub-003S4840	1125.0	736.0	2199.0	1627.0	397.0	3548.0	5073.0	3336.0	984.0	5468.0	2497.0	3274.0	1901.0	3582.0	687.0	1070.0	1353.0	661.0	1058.0	1563.0	3599.0	1089.0	4617.0	3329.0	986.0	5337.0	6843.0	4468.0	3683.0	3642.0	243.0	474.0	384.0	2191.0	83020.7	1093699.0	1465878.997079
sub-003S4900	855.0	504.0	1943.0	1156.0	438.0	2984.0	3853.0	2838.0	835.0	4001.0	2283.0	2783.0	1761.0	2656.0	639.0	1093.0	1248.0	588.0	1193.0	1240.0	3370.0	1005.0	4145.0	3232.0	807.0	4226.0	6040.0	4697.0	3310.0	3249.0	285.0	383.0	430.0	2198.0	72254.9	965584.0	1215871.483799
sub-005S0553	837.0	453.0	1762.0	1412.0	415.0	2736.0	3421.0	3053.0	987.0	4236.0	2326.0	2768.0	1688.0	2595.0	560.0	1065.0	1433.0	619.0	1388.0	1452.0	3733.0	889.0	3988.0	3193.0	633.0	5223.0	6798.0	4307.0	3545.0	3212.0	271.0	557.0	399.0	2720.0	74672.0	914545.0	1540761.958465
sub-006S0731	1030.0	462.0	1827.0	1615.0	419.0	3090.0	3207.0	3075.0	924.0	4404.0	2053.0	3274.0	1525.0	2417.0	563.0	1227.0	1336.0	622.0	1341.0	1741.0	4350.0	847.0	4929.0	3328.0	618.0	3864.0	5964.0	4798.0	3547.0	3827.0	221.0	385.0	394.0	2174.0	75390.4	982815.0	1494517.802949
sub-006S4357	798.0	497.0	1696.0	1366.0	442.0	2933.0	3488.0	2827.0	838.0	4026.0	1802.0	2718.0	1392.0	2477.0	557.0	1128.0	1327.0	509.0	1050.0	1574.0	3569.0	897.0	4406.0	2839.0	594.0	3752.0	5751.0	3763.0	3497.0	3016.0	237.0	526.0	386.0	1942.0	68612.9	876200.0	1148315.525837
sub-007S1222	749.0	485.0	1848.0	1103.0	328.0	2493.0	3669.0	2179.0	866.0	3576.0	1876.0	2066.0	1558.0	2371.0	530.0	1219.0	1254.0	524.0	1142.0	1073.0	3217.0	870.0	4057.0	2840.0	535.0	4005.0	6032.0	4453.0	3654.0	3690.0	267.0	497.0	380.0	2273.0	67678.5	878698.0	1288190.030933
