lh.aparc.DKTatlas.volume	lh_caudalanteriorcingulate_volume	lh_caudalmiddlefrontal_volume	lh_cuneus_volume	lh_entorhinal_volume	lh_fusiform_volume	lh_inferiorparietal_volume	lh_inferiortemporal_volume	lh_isthmuscingulate_volume	lh_lateraloccipital_volume	lh_lateralorbitofrontal_volume	lh_lingual_volume	lh_medialorbitofrontal_volume	lh_middletemporal_volume	lh_parahippocampal_volume	lh_paracentral_volume	lh_parsopercularis_volume	lh_parsorbitalis_volume	lh_parstriangularis_volume	lh_pericalcarine_volume	lh_postcentral_volume	lh_posteriorcingulate_volume	lh_precentral_volume	lh_precuneus_volume	lh_rostralanteriorcingulate_volume	lh_rostralmiddlefrontal_volume	lh_superiorfrontal_volume	lh_superiorparietal_volume	lh_superiortemporal_volume	lh_supramarginal_volume	lh_transversetemporal_volume	lh_insula_volume	BrainSegVolNotVent	eTIV
sub-0082	3931.0	7908.0	3829.0	2332.0	9261.0	12732.0	12720.0	3158.0	12126.0	9959.0	7650.0	4442.0	14392.0	2390.0	4941.0	4898.0	2226.0	4952.0	2002.0	11118.0	3528.0	15751.0	10433.0	5229.0	12363.0	26737.0	11244.0	17249.0	11509.0	1134.0	6808.0	1193592.0	1649751.03428
sub-0085	2681.0	4161.0	3250.0	2865.0	8845.0	10051.0	10825.0	2325.0	9930.0	7569.0	5394.0	4342.0	11059.0	2460.0	3594.0	3470.0	2303.0	3448.0	2013.0	10480.0	3710.0	11847.0	8563.0	3083.0	10665.0	20217.0	8583.0	14732.0	9409.0	1218.0	6329.0	1054724.0	1480778.17696
sub-0100	3717.0	6567.0	4022.0	1819.0	9318.0	15794.0	13882.0	2642.0	14873.0	10368.0	6897.0	5443.0	15837.0	2447.0	4570.0	3941.0	2517.0	3313.0	2345.0	11727.0	2485.0	13469.0	11102.0	4262.0	13164.0	27668.0	12373.0	18055.0	10229.0	1034.0	6446.0	1148366.0	1570498.95767
sub-0102	3286.0	6578.0	5900.0	2496.0	12249.0	14753.0	11740.0	3051.0	14642.0	10536.0	9285.0	4743.0	14334.0	2333.0	6253.0	4164.0	2073.0	4084.0	3302.0	12316.0	3155.0	15933.0	13338.0	4104.0	14300.0	27102.0	11820.0	20150.0	8808.0	1403.0	7213.0	1256669.0	1734647.16464
sub-0104	3553.0	6472.0	4565.0	2279.0	8379.0	12377.0	15933.0	2606.0	11276.0	10005.0	6116.0	5330.0	15992.0	2391.0	4330.0	3764.0	1912.0	4447.0	2093.0	10227.0	3673.0	12605.0	11663.0	4451.0	10633.0	24597.0	11820.0	17789.0	11850.0	1267.0	6897.0	1202410.0	1588832.71461
sub-0107	3052.0	6620.0	3830.0	1993.0	8420.0	11494.0	10992.0	3551.0	10900.0	8218.0	7040.0	3974.0	11391.0	2513.0	3948.0	3913.0	2052.0	4475.0	2378.0	10613.0	3559.0	12656.0	11789.0	3562.0	10659.0	21878.0	12746.0	13625.0	10123.0	1100.0	5742.0	1154737.0	1547836.86751
sub-0108	2831.0	5769.0	4838.0	2021.0	9331.0	13346.0	11795.0	2610.0	13407.0	9966.0	7479.0	4696.0	14711.0	1909.0	4376.0	4121.0	2249.0	4851.0	2179.0	9717.0	3478.0	13365.0	9456.0	4405.0	10367.0	25332.0	9805.0	15499.0	10132.0	1148.0	5828.0	1129989.0	1601099.67064
sub-0110	2892.0	7943.0	5613.0	3023.0	8590.0	13796.0	12930.0	3656.0	15643.0	10287.0	8245.0	5660.0	14963.0	2862.0	5891.0	4057.0	2318.0	4634.0	2978.0	13276.0	3299.0	13251.0	12167.0	4444.0	13096.0	27931.0	12024.0	16871.0	13504.0	1055.0	7636.0	1299190.0	1848937.15163
sub-0113	2442.0	5446.0	5760.0	1480.0	6300.0	10510.0	11773.0	2336.0	12809.0	7507.0	5783.0	3661.0	11376.0	2394.0	3941.0	3424.0	1683.0	4011.0	2183.0	9054.0	2908.0	12254.0	8420.0	3182.0	9223.0	20144.0	9830.0	14902.0	7121.0	1048.0	5629.0	917912.0	1401103.92939
sub-0117	2589.0	5960.0	5013.0	1277.0	8156.0	12879.0	9804.0	2772.0	13351.0	8595.0	6668.0	4085.0	11724.0	2208.0	4904.0	3235.0	1967.0	3975.0	2426.0	10468.0	3036.0	12643.0	9447.0	3503.0	9287.0	19509.0	12237.0	12645.0	8705.0	875.0	5333.0	1046908.0	1439661.79245
sub-0121	2950.0	6806.0	5106.0	1945.0	7519.0	11686.0	9885.0	2643.0	11812.0	7736.0	6673.0	3811.0	11276.0	2359.0	4062.0	3516.0	1882.0	3371.0	2571.0	11862.0	3354.0	13011.0	11101.0	3256.0	9436.0	20679.0	11709.0	13402.0	8401.0	1233.0	5151.0	1045027.0	1405787.88543
sub-0124	2647.0	5098.0	3391.0	1505.0	7460.0	10057.0	10757.0	2283.0	10427.0	8193.0	6469.0	4343.0	12198.0	2086.0	3498.0	3584.0	1951.0	3696.0	2010.0	9861.0	2948.0	12150.0	7317.0	2945.0	8923.0	21318.0	7375.0	14868.0	8274.0	760.0	5322.0	997073.0	1367328.18002
sub-0128	2741.0	6393.0	4331.0	1947.0	8469.0	10680.0	10667.0	2591.0	11590.0	8809.0	7183.0	4782.0	14777.0	2304.0	4523.0	4156.0	2112.0	4083.0	2813.0	11239.0	3367.0	13900.0	9127.0	3103.0	10390.0	25413.0	11306.0	16226.0	10479.0	1209.0	6518.0	1142571.0	1649933.42236
sub-0130	4127.0	6972.0	4597.0	1747.0	8726.0	11525.0	11047.0	2452.0	11319.0	8664.0	7479.0	4991.0	13802.0	2397.0	4355.0	3756.0	2184.0	3453.0	3044.0	11406.0	4428.0	14029.0	9692.0	3489.0	10825.0	20949.0	10082.0	14224.0	10635.0	1097.0	6109.0	1109147.0	1577833.33762
