rh.aparc.a2009s.volume	rh_G&S_frontomargin_volume	rh_G&S_occipital_inf_volume	rh_G&S_paracentral_volume	rh_G&S_subcentral_volume	rh_G&S_transv_frontopol_volume	rh_G&S_cingul-Ant_volume	rh_G&S_cingul-Mid-Ant_volume	rh_G&S_cingul-Mid-Post_volume	rh_G_cingul-Post-dorsal_volume	rh_G_cingul-Post-ventral_volume	rh_G_cuneus_volume	rh_G_front_inf-Opercular_volume	rh_G_front_inf-Orbital_volume	rh_G_front_inf-Triangul_volume	rh_G_front_middle_volume	rh_G_front_sup_volume	rh_G_Ins_lg&S_cent_ins_volume	rh_G_insular_short_volume	rh_G_occipital_middle_volume	rh_G_occipital_sup_volume	rh_G_oc-temp_lat-fusifor_volume	rh_G_oc-temp_med-Lingual_volume	rh_G_oc-temp_med-Parahip_volume	rh_G_orbital_volume	rh_G_pariet_inf-Angular_volume	rh_G_pariet_inf-Supramar_volume	rh_G_parietal_sup_volume	rh_G_postcentral_volume	rh_G_precentral_volume	rh_G_precuneus_volume	rh_G_rectus_volume	rh_G_subcallosal_volume	rh_G_temp_sup-G_T_transv_volume	rh_G_temp_sup-Lateral_volume	rh_G_temp_sup-Plan_polar_volume	rh_G_temp_sup-Plan_tempo_volume	rh_G_temporal_inf_volume	rh_G_temporal_middle_volume	rh_Lat_Fis-ant-Horizont_volume	rh_Lat_Fis-ant-Vertical_volume	rh_Lat_Fis-post_volume	rh_Pole_occipital_volume	rh_Pole_temporal_volume	rh_S_calcarine_volume	rh_S_central_volume	rh_S_cingul-Marginalis_volume	rh_S_circular_insula_ant_volume	rh_S_circular_insula_inf_volume	rh_S_circular_insula_sup_volume	rh_S_collat_transv_ant_volume	rh_S_collat_transv_post_volume	rh_S_front_inf_volume	rh_S_front_middle_volume	rh_S_front_sup_volume	rh_S_interm_prim-Jensen_volume	rh_S_intrapariet&P_trans_volume	rh_S_oc_middle&Lunatus_volume	rh_S_oc_sup&transversal_volume	rh_S_occipital_ant_volume	rh_S_oc-temp_lat_volume	rh_S_oc-temp_med&Lingual_volume	rh_S_orbital_lateral_volume	rh_S_orbital_med-olfact_volume	rh_S_orbital-H_Shaped_volume	rh_S_parieto_occipital_volume	rh_S_pericallosal_volume	rh_S_postcentral_volume	rh_S_precentral-inf-part_volume	rh_S_precentral-sup-part_volume	rh_S_suborbital_volume	rh_S_subparietal_volume	rh_S_temporal_inf_volume	rh_S_temporal_sup_volume	rh_S_temporal_transverse_volume	BrainSegVolNotVent	eTIV
sub-0039	1626.0	2501.0	2978.0	2889.0	1493.0	6316.0	2625.0	2882.0	1451.0	806.0	2843.0	3324.0	796.0	2569.0	8168.0	12286.0	1620.0	2271.0	4941.0	2713.0	4951.0	6741.0	4108.0	7394.0	5235.0	6121.0	4046.0	3999.0	5545.0	4719.0	2168.0	1125.0	1208.0	4907.0	2514.0	1950.0	5908.0	7003.0	503.0	451.0	2144.0	5512.0	6159.0	2284.0	3751.0	2147.0	847.0	1846.0	2146.0	1439.0	642.0	3020.0	2711.0	3140.0	631.0	3606.0	1013.0	2476.0	1092.0	1677.0	3987.0	651.0	988.0	2338.0	2845.0	1239.0	3629.0	2154.0	2031.0	771.0	1739.0	1943.0	7552.0	416.0	1067973.0	1442462.66838
sub-0041	1856.0	3039.0	1988.0	2361.0	2485.0	5260.0	3133.0	2741.0	1676.0	1070.0	4138.0	3615.0	1373.0	2872.0	12125.0	17812.0	1521.0	2067.0	5640.0	3409.0	5665.0	5600.0	3262.0	6473.0	6571.0	3817.0	2489.0	2864.0	3687.0	5295.0	1773.0	698.0	819.0	4259.0	1914.0	1503.0	6694.0	9020.0	481.0	277.0	1649.0	5887.0	5825.0	4026.0	3342.0	1665.0	838.0	1639.0	2020.0	1707.0	638.0	4615.0	5304.0	6456.0	348.0	3048.0	1370.0	2171.0	1178.0	1985.0	2905.0	829.0	1470.0	2721.0	3288.0	1362.0	1860.0	1480.0	1450.0	375.0	2008.0	2274.0	9602.0	361.0	1117012.0	1513870.08802
sub-0042	1341.0	3208.0	2719.0	2868.0	2226.0	5700.0	2280.0	2832.0	2101.0	1048.0	4027.0	3158.0	837.0	2916.0	9149.0	14070.0	1468.0	2337.0	5318.0	3427.0	5168.0	6380.0	4132.0	6356.0	8279.0	6050.0	4976.0	3839.0	6204.0	5844.0	1927.0	1083.0	816.0	4782.0	2098.0	1502.0	7127.0	9433.0	509.0	634.0	2053.0	5817.0	4806.0	3782.0	3869.0	1827.0	858.0	1727.0	2312.0	1656.0	721.0	3322.0	2909.0	3422.0	793.0	4898.0	1055.0	2177.0	1305.0	1981.0	3069.0	477.0	921.0	2465.0	4117.0	1301.0	3524.0	2414.0	1922.0	455.0	2214.0	2290.0	10597.0	383.0	1139605.0	1546304.60749
sub-0043	1734.0	2180.0	2184.0	2780.0	2408.0	5523.0	2942.0	2973.0	1500.0	643.0	3926.0	2604.0	824.0	1837.0	12002.0	15126.0	1456.0	2124.0	4408.0	2913.0	5011.0	5692.0	3416.0	6829.0	7862.0	4222.0	5127.0	3288.0	6544.0	5415.0	1892.0	849.0	744.0	4171.0	1553.0	1143.0	6500.0	8626.0	451.0	379.0	1779.0	4550.0	5495.0	3201.0	3937.0	2102.0	934.0	1592.0	2209.0	1506.0	485.0	2736.0	2703.0	5371.0	576.0	3767.0	1177.0	1919.0	1369.0	1427.0	3031.0	711.0	1218.0	2583.0	2753.0	1566.0	3089.0	2349.0	2577.0	374.0	1602.0	1655.0	9260.0	213.0	1093126.0	1488425.96978
sub-0044	1662.0	3347.0	2220.0	2999.0	3065.0	5759.0	2489.0	3203.0	1716.0	553.0	2401.0	3905.0	1488.0	2624.0	9444.0	16695.0	1644.0	2593.0	4679.0	2526.0	4567.0	5346.0	3854.0	7225.0	9981.0	5432.0	5081.0	3034.0	5346.0	5785.0	1614.0	888.0	847.0	5049.0	1901.0	1949.0	7905.0	10706.0	956.0	406.0	2073.0	4759.0	6116.0	2259.0	3506.0	1901.0	1169.0	1629.0	2526.0	2363.0	564.0	3589.0	3649.0	3429.0	851.0	5247.0	927.0	1473.0	1404.0	1806.0	3199.0	850.0	902.0	2242.0	2443.0	1451.0	3130.0	1820.0	1721.0	405.0	1792.0	2969.0	11482.0	468.0	1141797.0	1570025.48511
sub-0053	1862.0	2463.0	2187.0	2678.0	2014.0	5966.0	2744.0	3032.0	1608.0	676.0	2687.0	2855.0	758.0	1653.0	7090.0	14543.0	1518.0	2159.0	4569.0	2834.0	4742.0	3316.0	3504.0	5555.0	6217.0	5789.0	4686.0	3138.0	6317.0	4667.0	1767.0	842.0	849.0	4558.0	2344.0	1895.0	6347.0	7963.0	587.0	265.0	1869.0	5387.0	5557.0	1997.0	4218.0	2040.0	746.0	1991.0	2073.0	1581.0	678.0	2025.0	3457.0	3915.0	597.0	4898.0	1573.0	1291.0	1083.0	1109.0	2713.0	583.0	937.0	2079.0	2984.0	2004.0	2698.0	2612.0	2058.0	568.0	1787.0	1776.0	9255.0	373.0	1047785.0	1563927.20032
sub-0057	1651.0	2651.0	2068.0	2197.0	2713.0	5654.0	2501.0	2393.0	1180.0	858.0	3117.0	2676.0	982.0	2651.0	7963.0	15115.0	1574.0	1867.0	4343.0	2623.0	5561.0	4506.0	3542.0	6782.0	5959.0	5076.0	4263.0	2866.0	4772.0	5379.0	2119.0	1076.0	791.0	4159.0	2562.0	1567.0	5869.0	8233.0	438.0	528.0	1579.0	5746.0	5994.0	3337.0	3368.0	1453.0	748.0	1851.0	2209.0	1165.0	469.0	2973.0	3060.0	3645.0	360.0	3639.0	1069.0	1225.0	1193.0	1330.0	2691.0	744.0	1111.0	2270.0	2834.0	1058.0	2982.0	2464.0	1756.0	309.0	1563.0	1583.0	9032.0	495.0	916095.0	1545364.52291
sub-0058	1280.0	2917.0	2337.0	2741.0	2280.0	4708.0	1949.0	2189.0	1615.0	878.0	2694.0	2698.0	908.0	2132.0	7900.0	16134.0	1725.0	2080.0	6429.0	2472.0	4902.0	5116.0	3632.0	5936.0	6099.0	4331.0	3739.0	2944.0	5148.0	4760.0	2079.0	1140.0	731.0	4775.0	2794.0	1470.0	6785.0	9952.0	422.0	341.0	1795.0	4976.0	5447.0	3107.0	3986.0	1676.0	899.0	1376.0	2028.0	1316.0	680.0	2233.0	3155.0	4465.0	518.0	4240.0	1245.0	1966.0	1668.0	1187.0	3710.0	513.0	986.0	2442.0	3016.0	1274.0	3119.0	2575.0	1889.0	545.0	1616.0	2536.0	9481.0	327.0	1030574.0	1393762.8743
sub-0060	1417.0	2462.0	2342.0	3046.0	2180.0	4993.0	2088.0	2305.0	1302.0	548.0	3132.0	3122.0	1084.0	1648.0	7627.0	13658.0	1945.0	1754.0	4917.0	2925.0	4187.0	3570.0	3070.0	6627.0	7365.0	5854.0	3934.0	3208.0	5432.0	4321.0	2066.0	715.0	842.0	5038.0	1819.0	2058.0	7536.0	8248.0	665.0	239.0	1856.0	4940.0	5721.0	2334.0	3506.0	1499.0	710.0	1626.0	2123.0	1674.0	533.0	2726.0	3241.0	2729.0	518.0	3782.0	1030.0	1644.0	1050.0	1434.0	3390.0	646.0	824.0	2747.0	3799.0	923.0	3706.0	1887.0	1622.0	391.0	1425.0	2112.0	9525.0	301.0	977133.0	1205966.67051
sub-0062	1761.0	3603.0	2513.0	2845.0	3586.0	6840.0	2519.0	2963.0	1751.0	1070.0	3921.0	4180.0	1192.0	2530.0	11557.0	18342.0	2516.0	3021.0	6562.0	3283.0	6981.0	6141.0	4374.0	7954.0	7278.0	4916.0	4537.0	3628.0	6510.0	5357.0	2598.0	1006.0	707.0	5214.0	2199.0	1527.0	8922.0	8997.0	771.0	345.0	1967.0	6074.0	9339.0	3765.0	4417.0	2260.0	1219.0	2448.0	2693.0	1666.0	604.0	4113.0	3596.0	5578.0	365.0	5314.0	1419.0	2455.0	1737.0	2141.0	3259.0	777.0	1201.0	2723.0	2817.0	1302.0	3148.0	2316.0	3059.0	581.0	2113.0	2657.0	10814.0	384.0	1289435.0	1776265.02628
