rh.BA_exvivo.thickness	rh_BA1_exvivo_thickness	rh_BA2_exvivo_thickness	rh_BA3a_exvivo_thickness	rh_BA3b_exvivo_thickness	rh_BA4a_exvivo_thickness	rh_BA4p_exvivo_thickness	rh_BA6_exvivo_thickness	rh_BA44_exvivo_thickness	rh_BA45_exvivo_thickness	rh_V1_exvivo_thickness	rh_V2_exvivo_thickness	rh_MT_exvivo_thickness	rh_perirhinal_exvivo_thickness	rh_entorhinal_exvivo_thickness	BrainSegVolNotVent	eTIV
sub-0039	2.357	2.058	1.957	1.919	2.687	2.578	2.598	2.525	2.472	1.832	2.053	2.542	3.612	3.689	1067973.0	1442462.66838
sub-0041	2.329	2.251	2.32	2.373	2.128	2.142	2.356	2.489	2.487	1.971	2.042	2.625	3.582	3.383	1117012.0	1513870.08802
sub-0042	2.383	2.225	1.816	1.862	2.635	2.647	2.585	2.468	2.397	1.955	2.151	2.382	3.527	3.446	1139605.0	1546304.60749
sub-0043	2.014	2.191	1.885	1.553	2.36	2.524	2.5	2.47	2.387	1.673	2.018	2.478	3.651	3.593	1093126.0	1488425.96978
sub-0044	2.045	2.098	1.816	1.623	2.787	2.565	2.84	2.707	2.473	1.881	2.124	2.47	3.201	3.038	1141797.0	1570025.48511
sub-0053	2.16	1.993	1.701	1.761	2.528	2.462	2.484	2.35	2.196	1.848	2.003	2.439	3.458	3.461	1047785.0	1563927.20032
sub-0057	1.851	1.916	1.619	1.527	1.921	1.845	2.311	2.402	2.472	2.028	2.097	2.377	3.043	2.636	916095.0	1545364.52291
sub-0058	2.031	2.16	1.814	1.717	2.57	2.557	2.644	2.606	2.37	1.897	1.9	2.564	3.484	3.059	1030574.0	1393762.8743
sub-0060	2.184	2.112	1.881	1.818	2.472	2.539	2.624	2.675	2.473	1.867	2.073	2.541	3.696	3.755	977133.0	1205966.67051
sub-0062	2.346	2.073	1.787	1.963	2.711	2.504	2.789	2.518	2.43	1.97	2.1	2.692	3.722	3.101	1289435.0	1776265.02628
sub-0064	2.193	2.258	1.953	1.926	2.529	2.681	2.392	2.509	2.394	1.695	1.914	2.569	3.762	3.114	1198044.0	3132919.29087
sub-0066	2.188	2.081	1.815	1.738	2.659	2.741	2.762	2.6	2.473	2.115	2.214	2.742	3.416	3.051	1084847.0	1462947.37819
sub-0067	2.424	2.147	1.993	1.89	2.837	2.817	2.728	2.502	2.443	2.108	2.079	2.689	3.299	3.562	1040745.0	1385606.54043
sub-0071	2.563	2.32	2.121	2.11	2.67	2.603	2.841	2.518	2.443	2.11	2.296	2.551	3.691	3.164	1009957.0	1378600.06314
sub-0072	2.678	2.345	2.022	2.041	2.929	2.819	2.72	2.547	2.579	2.004	2.22	2.493	3.29	3.411	1131610.0	1525486.91608
sub-0073	1.63	2.026	1.455	1.558	1.703	1.306	1.136	2.351	2.141	2.602	2.337	2.531	2.886	3.019	428721.0	104144.590512
sub-0077	2.105	2.139	2.074	1.87	2.554	2.653	2.583	2.551	2.511	1.879	2.184	2.625	3.699	3.36	1243118.0	1638396.83303
sub-0078	2.364	2.379	1.905	1.825	2.697	2.686	2.546	2.578	2.396	2.006	2.078	2.714	3.59	3.164	1164610.0	1591966.66264
sub-0079	2.097	2.192	1.843	1.58	2.429	2.548	2.516	2.481	2.399	1.696	1.994	2.48	3.418	3.253	1096560.0	1488425.96978
sub-0080	2.478	2.242	1.833	1.988	2.851	2.565	2.737	2.558	2.367	2.171	2.179	2.529	3.349	2.706	1191370.0	1613504.469
sub-0082	2.365	2.201	1.8	1.936	2.608	2.603	2.544	2.562	2.358	1.952	2.142	2.605	3.635	3.073	1193592.0	1649751.03428
sub-0085	1.972	1.899	1.661	1.693	2.21	2.204	2.372	2.43	2.152	1.749	1.832	2.335	3.438	2.733	1054724.0	1480778.17696
sub-0100	2.197	2.187	2.018	1.806	2.635	2.755	2.796	2.706	2.847	2.125	2.165	2.557	3.8	3.729	1148366.0	1570498.95767
sub-0102	2.209	2.053	1.897	1.689	2.536	2.557	2.708	2.618	2.583	1.884	2.031	2.324	3.777	3.836	1256669.0	1734647.16464
sub-0104	2.142	2.166	1.777	1.828	2.66	2.579	2.526	2.459	2.266	1.847	1.969	2.312	3.502	3.315	1202410.0	1588832.71461
sub-0107	2.31	2.099	1.732	1.769	2.643	2.501	2.472	2.258	2.163	1.695	1.938	2.321	3.428	3.4	1154737.0	1547836.86751
sub-0108	2.344	2.004	1.848	1.886	2.282	2.1	2.51	2.479	2.523	1.798	1.966	2.486	3.506	3.489	1129989.0	1601099.67064
sub-0110	2.257	2.2	2.02	2.002	2.12	2.215	2.349	2.368	2.408	1.79	1.95	2.34	3.654	2.815	1299190.0	1848937.15163
sub-0113	2.533	2.274	2.047	1.933	2.585	2.488	2.739	2.295	2.363	2.177	2.222	2.891	3.296	3.612	917912.0	1401103.92939
sub-0117	2.058	2.118	1.822	1.545	2.619	2.729	2.632	2.359	2.382	1.701	1.932	2.612	3.496	3.08	1046908.0	1439661.79245
sub-0121	2.371	2.051	1.913	1.752	2.709	2.715	2.629	2.281	2.311	1.929	2.148	2.491	3.457	3.443	1045027.0	1405787.88543
sub-0124	2.229	2.051	1.91	1.92	2.625	2.42	2.785	2.49	2.568	1.923	2.004	2.221	3.461	3.608	997073.0	1367328.18002
sub-0128	2.094	1.989	1.821	1.908	2.635	2.589	2.663	2.525	2.499	2.113	1.959	2.389	3.427	2.988	1142571.0	1649933.42236
sub-0130	2.044	1.962	1.726	1.636	2.439	2.476	2.534	2.3	2.359	1.985	2.002	2.484	3.597	3.577	1109147.0	1577833.33762
