rh.BA_exvivo.volume	rh_BA1_exvivo_volume	rh_BA2_exvivo_volume	rh_BA3a_exvivo_volume	rh_BA3b_exvivo_volume	rh_BA4a_exvivo_volume	rh_BA4p_exvivo_volume	rh_BA6_exvivo_volume	rh_BA44_exvivo_volume	rh_BA45_exvivo_volume	rh_V1_exvivo_volume	rh_V2_exvivo_volume	rh_MT_exvivo_volume	rh_perirhinal_exvivo_volume	rh_entorhinal_exvivo_volume	BrainSegVolNotVent	eTIV
sub-0039	1854.0	4999.0	1206.0	2706.0	3028.0	2123.0	14117.0	6588.0	8246.0	4828.0	13588.0	3217.0	2069.0	1420.0	1067973.0	1442462.66838
sub-0041	1011.0	3262.0	1127.0	2419.0	2194.0	1520.0	13790.0	6497.0	9700.0	7105.0	13794.0	4568.0	1604.0	1109.0	1117012.0	1513870.08802
sub-0042	1872.0	4487.0	1055.0	2668.0	3243.0	2289.0	15667.0	6411.0	8538.0	6887.0	14840.0	4111.0	1743.0	1023.0	1139605.0	1546304.60749
sub-0043	1495.0	4405.0	1066.0	2290.0	2737.0	2123.0	16449.0	6385.0	6749.0	5163.0	13169.0	3599.0	1879.0	1472.0	1093126.0	1488425.96978
sub-0044	1488.0	4219.0	1061.0	2271.0	2937.0	1972.0	14712.0	6919.0	10147.0	4161.0	10962.0	3983.0	2069.0	1327.0	1141797.0	1570025.48511
sub-0053	1366.0	3813.0	1207.0	2483.0	2921.0	2402.0	16762.0	5921.0	6226.0	4074.0	11248.0	3604.0	1887.0	1228.0	1047785.0	1563927.20032
sub-0057	1218.0	3933.0	1057.0	2136.0	2207.0	1786.0	14792.0	6226.0	8193.0	5524.0	11819.0	3442.0	1930.0	933.0	916095.0	1545364.52291
sub-0058	1270.0	4243.0	1111.0	2339.0	2586.0	2163.0	16250.0	6265.0	6216.0	5504.0	11505.0	4580.0	1927.0	789.0	1030574.0	1393762.8743
sub-0060	1537.0	4889.0	1014.0	2369.0	2662.0	2008.0	13898.0	5640.0	7300.0	4181.0	11590.0	3572.0	1833.0	1138.0	977133.0	1205966.67051
sub-0062	1722.0	4420.0	1251.0	2934.0	3285.0	2371.0	20275.0	7293.0	9970.0	6518.0	14844.0	4728.0	2579.0	1018.0	1289435.0	1776265.02628
sub-0064	1776.0	5566.0	1184.0	3010.0	4545.0	2299.0	23936.0	6352.0	6967.0	4333.0	9842.0	3877.0	1869.0	1012.0	1198044.0	3132919.29087
sub-0066	1481.0	4484.0	1087.0	2327.0	2839.0	2120.0	16014.0	7132.0	8433.0	5559.0	12392.0	4079.0	2157.0	1009.0	1084847.0	1462947.37819
sub-0067	1806.0	4701.0	1276.0	2681.0	3095.0	2510.0	17495.0	5184.0	8459.0	5584.0	11753.0	4561.0	2029.0	1281.0	1040745.0	1385606.54043
sub-0071	1525.0	4683.0	1171.0	2772.0	2701.0	2028.0	14562.0	6242.0	6882.0	4718.0	12319.0	4092.0	2169.0	1028.0	1009957.0	1378600.06314
sub-0072	2141.0	5577.0	1203.0	3177.0	3137.0	2392.0	16998.0	6587.0	8682.0	5230.0	12651.0	5234.0	1866.0	1186.0	1131610.0	1525486.91608
sub-0073	960.0	3147.0	483.0	1257.0	814.0	416.0	3489.0	6885.0	5961.0	2003.0	3747.0	1286.0	661.0	422.0	428721.0	104144.590512
sub-0077	1566.0	4498.0	1216.0	2571.0	3184.0	2472.0	17738.0	6434.0	9700.0	6244.0	15695.0	4864.0	1928.0	981.0	1243118.0	1638396.83303
sub-0078	1848.0	5534.0	1096.0	2399.0	3507.0	2406.0	18191.0	7015.0	7631.0	5015.0	11831.0	3747.0	2014.0	1089.0	1164610.0	1591966.66264
sub-0079	1557.0	4415.0	1063.0	2330.0	2835.0	2054.0	16527.0	6323.0	6825.0	5186.0	13164.0	3697.0	1971.0	1314.0	1096560.0	1488425.96978
sub-0080	1966.0	4713.0	1280.0	3395.0	3883.0	2552.0	19439.0	6475.0	6556.0	4785.0	13199.0	3685.0	1986.0	695.0	1191370.0	1613504.469
sub-0082	1880.0	4844.0	1250.0	3034.0	3696.0	2448.0	18392.0	7991.0	9788.0	5071.0	12706.0	5235.0	2508.0	1153.0	1193592.0	1649751.03428
sub-0085	1447.0	4042.0	974.0	2204.0	2489.0	1572.0	15478.0	5432.0	7009.0	4798.0	9653.0	3107.0	3017.0	1449.0	1054724.0	1480778.17696
sub-0100	1709.0	5518.0	1282.0	2721.0	2855.0	2350.0	15833.0	7210.0	9470.0	5000.0	12217.0	3918.0	2205.0	1138.0	1148366.0	1570498.95767
sub-0102	1790.0	5193.0	1306.0	2706.0	3138.0	2294.0	16392.0	8964.0	9881.0	5402.0	14059.0	4200.0	2804.0	1899.0	1256669.0	1734647.16464
sub-0104	1629.0	5342.0	1122.0	2531.0	3210.0	2066.0	17543.0	6146.0	7211.0	5111.0	12198.0	3458.0	2327.0	1454.0	1202410.0	1588832.71461
sub-0107	1557.0	4502.0	1089.0	2412.0	2782.0	2176.0	15597.0	6024.0	6404.0	5696.0	13838.0	3343.0	2100.0	1322.0	1154737.0	1547836.86751
sub-0108	1646.0	4486.0	1185.0	2814.0	2691.0	1904.0	17329.0	7497.0	7908.0	5199.0	12614.0	3975.0	1862.0	1000.0	1129989.0	1601099.67064
sub-0110	2060.0	5906.0	1230.0	3062.0	2683.0	2021.0	18058.0	6077.0	9395.0	6324.0	13855.0	6255.0	2831.0	1202.0	1299190.0	1848937.15163
sub-0113	1627.0	4479.0	1277.0	2679.0	2941.0	2218.0	16168.0	4809.0	6769.0	4931.0	11958.0	4403.0	1718.0	1189.0	917912.0	1401103.92939
sub-0117	1477.0	4986.0	1275.0	2315.0	3214.0	2580.0	15694.0	5884.0	7540.0	5609.0	11309.0	3096.0	1785.0	865.0	1046908.0	1439661.79245
sub-0121	1837.0	5243.0	1387.0	2693.0	2984.0	2550.0	15694.0	5846.0	6583.0	5937.0	11788.0	4471.0	2140.0	1250.0	1045027.0	1405787.88543
sub-0124	1596.0	3596.0	1265.0	2750.0	2478.0	2083.0	14191.0	5407.0	7041.0	4196.0	10470.0	4052.0	1753.0	1183.0	997073.0	1367328.18002
sub-0128	1485.0	4578.0	1333.0	3064.0	3266.0	2708.0	18467.0	6495.0	7651.0	6639.0	12286.0	3696.0	1639.0	695.0	1142571.0	1649933.42236
sub-0130	1709.0	5438.0	1276.0	2690.0	3008.0	2356.0	16489.0	5980.0	7012.0	5762.0	10916.0	4510.0	1908.0	1282.0	1109147.0	1577833.33762
