lh.BA_exvivo.thickness	lh_BA1_exvivo_thickness	lh_BA2_exvivo_thickness	lh_BA3a_exvivo_thickness	lh_BA3b_exvivo_thickness	lh_BA4a_exvivo_thickness	lh_BA4p_exvivo_thickness	lh_BA6_exvivo_thickness	lh_BA44_exvivo_thickness	lh_BA45_exvivo_thickness	lh_V1_exvivo_thickness	lh_V2_exvivo_thickness	lh_MT_exvivo_thickness	lh_perirhinal_exvivo_thickness	lh_entorhinal_exvivo_thickness	BrainSegVolNotVent	eTIV
sub-0039	2.574	2.025	1.938	1.872	2.534	2.748	2.519	2.342	2.275	2.053	2.104	2.663	3.378	3.457	1067973.0	1442462.66838
sub-0041	2.235	2.241	1.964	1.871	2.715	2.88	2.756	2.533	2.338	1.903	1.972	2.491	3.479	3.815	1117012.0	1513870.08802
sub-0042	2.311	2.297	1.817	1.98	2.907	2.84	2.56	2.433	2.178	2.01	2.12	2.472	3.488	2.864	1139605.0	1546304.60749
sub-0043	1.947	2.209	1.808	1.65	2.467	2.576	2.517	2.384	2.286	1.873	2.055	2.603	3.165	3.15	1093126.0	1488425.96978
sub-0044	2.233	2.234	1.925	1.896	2.748	2.75	2.913	2.731	2.367	1.726	2.067	2.453	3.245	2.923	1141797.0	1570025.48511
sub-0053	2.187	2.233	1.749	1.955	2.655	2.508	2.594	2.56	2.336	1.664	1.874	2.212	3.573	2.877	1047785.0	1563927.20032
sub-0057	1.797	2.018	1.582	1.53	1.895	2.076	2.259	2.31	2.12	2.078	2.052	2.399	3.697	3.442	916095.0	1545364.52291
sub-0058	2.231	2.269	1.922	1.837	2.574	2.842	2.651	2.551	2.356	1.91	2.073	2.663	3.683	3.1	1030574.0	1393762.8743
sub-0060	2.143	2.224	1.89	1.991	2.615	2.604	2.589	2.685	2.398	1.889	2.144	2.674	3.506	3.768	977133.0	1205966.67051
sub-0062	2.284	2.315	2.067	1.96	2.693	2.734	2.697	2.512	2.307	2.023	2.227	2.763	3.601	3.121	1289435.0	1776265.02628
sub-0064	2.155	2.231	1.813	1.971	2.754	2.739	2.582	2.742	2.477	1.675	1.869	2.374	3.403	2.938	1198044.0	3132919.29087
sub-0066	2.11	2.043	1.99	1.956	2.755	2.542	2.71	2.645	2.449	2.068	2.234	2.805	3.633	3.269	1084847.0	1462947.37819
sub-0067	2.315	2.349	1.845	1.807	2.871	2.779	2.703	2.508	2.337	1.843	2.127	2.551	3.642	3.457	1040745.0	1385606.54043
sub-0071	2.311	2.316	2.013	1.999	2.862	2.668	2.736	2.525	2.387	2.086	2.248	2.665	3.417	2.814	1009957.0	1378600.06314
sub-0072	2.494	2.333	2.063	2.22	2.818	2.862	2.741	2.531	2.541	1.956	2.281	2.568	3.416	3.172	1131610.0	1525486.91608
sub-0073	1.244	2.16	1.708	2.048	2.069	1.889	1.51	1.956	2.549	2.068	1.797	1.903	0.084	0.272	428721.0	104144.590512
sub-0077	2.207	2.226	2.066	1.954	2.666	2.561	2.598	2.456	2.294	1.936	2.192	2.895	3.584	3.26	1243118.0	1638396.83303
sub-0078	2.423	2.389	2.013	2.113	2.718	2.69	2.627	2.678	2.41	1.983	2.165	2.649	3.631	3.432	1164610.0	1591966.66264
sub-0079	1.973	2.223	1.823	1.634	2.537	2.628	2.496	2.383	2.286	1.846	2.032	2.579	3.269	3.108	1096560.0	1488425.96978
sub-0080	2.476	2.218	1.777	2.112	2.841	2.732	2.808	2.527	2.35	2.077	2.154	2.557	3.462	2.991	1191370.0	1613504.469
sub-0082	2.294	2.322	1.772	2.076	2.824	2.688	2.619	2.572	2.465	1.81	2.115	2.341	3.472	3.267	1193592.0	1649751.03428
sub-0085	2.1	1.919	1.711	1.935	2.152	2.343	2.265	2.313	2.279	1.734	1.834	2.061	3.233	2.907	1054724.0	1480778.17696
sub-0100	2.102	2.219	1.988	1.879	2.884	2.751	2.726	2.678	2.581	2.062	2.298	2.872	3.48	3.558	1148366.0	1570498.95767
sub-0102	2.213	2.146	1.975	2.024	2.698	2.618	2.542	2.681	2.58	1.951	2.154	2.455	3.847	3.42	1256669.0	1734647.16464
sub-0104	2.05	2.155	1.756	1.908	2.531	2.72	2.564	2.352	2.355	1.735	1.936	2.17	3.179	3.179	1202410.0	1588832.71461
sub-0107	2.261	2.182	1.698	2.027	2.61	2.589	2.483	2.389	2.199	1.65	1.883	2.24	3.42	2.852	1154737.0	1547836.86751
sub-0108	1.99	2.157	1.872	1.797	2.463	2.066	2.52	2.316	2.218	1.764	2.001	2.359	2.964	3.073	1129989.0	1601099.67064
sub-0110	2.572	2.197	2.041	2.12	2.498	2.145	2.505	2.155	2.067	1.682	2.023	2.341	3.688	3.217	1299190.0	1848937.15163
sub-0113	2.102	2.137	2.133	1.933	2.626	2.529	2.646	2.273	2.24	1.88	2.144	2.676	3.334	3.266	917912.0	1401103.92939
sub-0117	2.253	2.156	1.909	1.804	2.665	2.545	2.588	2.312	2.358	1.792	2.048	2.721	3.327	3.003	1046908.0	1439661.79245
sub-0121	2.43	2.045	2.101	1.946	2.748	2.801	2.693	2.322	2.262	2.042	2.163	2.652	3.615	3.229	1045027.0	1405787.88543
sub-0124	2.405	2.123	1.872	1.903	2.625	2.841	2.744	2.599	2.459	1.947	2.087	2.531	3.146	3.064	997073.0	1367328.18002
sub-0128	2.161	2.219	1.833	1.88	2.647	2.754	2.627	2.488	2.34	1.9	2.032	2.399	3.599	3.296	1142571.0	1649933.42236
sub-0130	2.136	2.012	1.806	1.678	2.432	2.608	2.591	2.254	2.19	2.1	2.124	2.48	3.595	3.16	1109147.0	1577833.33762
