lh.BA_exvivo.area	lh_BA1_exvivo_area	lh_BA2_exvivo_area	lh_BA3a_exvivo_area	lh_BA3b_exvivo_area	lh_BA4a_exvivo_area	lh_BA4p_exvivo_area	lh_BA6_exvivo_area	lh_BA44_exvivo_area	lh_BA45_exvivo_area	lh_V1_exvivo_area	lh_V2_exvivo_area	lh_MT_exvivo_area	lh_perirhinal_exvivo_area	lh_entorhinal_exvivo_area	lh_WhiteSurfArea_area	BrainSegVolNotVent	eTIV
sub-0002	871.0	3971.0	876.0	1922.0	1161.0	1058.0	5876.0	1471.0	2451.0	2958.0	6039.0	1039.0	439.0	643.0	93789.6	1132588.0	1560423.69239
sub-0004	596.0	2595.0	911.0	1690.0	1122.0	1084.0	6632.0	1405.0	1724.0	1972.0	4819.0	1216.0	365.0	407.0	84552.8	1026369.0	1521868.12825
sub-0005	700.0	2724.0	859.0	1795.0	1074.0	1062.0	6800.0	1937.0	2385.0	3003.0	6599.0	1481.0	520.0	638.0	100416.0	1238394.0	1605356.27467
sub-0006	592.0	2118.0	700.0	1446.0	859.0	880.0	5269.0	1514.0	1923.0	2004.0	4869.0	1143.0	315.0	377.0	75514.3	844572.0	1241767.03572
sub-0008	714.0	3096.0	893.0	1751.0	1134.0	1086.0	6884.0	1705.0	2116.0	2372.0	5450.0	1740.0	353.0	423.0	97043.0	1155014.0	1528850.14784
sub-0009	614.0	2097.0	749.0	1566.0	862.0	894.0	5558.0	1266.0	1653.0	2247.0	5207.0	1103.0	375.0	438.0	75340.3	905797.0	1188125.24385
sub-0012	465.0	2189.0	671.0	1178.0	837.0	781.0	5096.0	1317.0	1967.0	1957.0	4798.0	1091.0	302.0	354.0	77269.2	1000580.0	1323749.89026
sub-0014	647.0	3323.0	805.0	1617.0	1157.0	957.0	6704.0	1737.0	2223.0	2750.0	5456.0	1233.0	390.0	455.0	99547.1	1203417.0	1691121.35817
sub-0015	582.0	2135.0	765.0	1454.0	808.0	851.0	5289.0	1254.0	1678.0	1960.0	4362.0	1063.0	375.0	415.0	77183.9	936445.0	1322184.8158
sub-0021	588.0	2411.0	804.0	1532.0	1126.0	957.0	6862.0	1298.0	2217.0	2585.0	5496.0	1216.0	355.0	428.0	93117.7	1184760.0	1598748.22732
sub-0022	504.0	2296.0	657.0	1257.0	829.0	734.0	4989.0	1242.0	1451.0	2066.0	4414.0	809.0	317.0	371.0	70816.3	851374.0	1240512.30826
