lh.BA_exvivo.area	lh_BA1_exvivo_area	lh_BA2_exvivo_area	lh_BA3a_exvivo_area	lh_BA3b_exvivo_area	lh_BA4a_exvivo_area	lh_BA4p_exvivo_area	lh_BA6_exvivo_area	lh_BA44_exvivo_area	lh_BA45_exvivo_area	lh_V1_exvivo_area	lh_V2_exvivo_area	lh_MT_exvivo_area	lh_perirhinal_exvivo_area	lh_entorhinal_exvivo_area	lh_WhiteSurfArea_area	BrainSegVolNotVent	eTIV
sub-3610	615.0	2343.0	708.0	1528.0	932.0	826.0	6110.0	1476.0	2024.0	2283.0	4671.0	1347.0	451.0	576.0	89888.7	1165035.0	1578057.312215
sub-3611	714.0	2945.0	678.0	1466.0	1038.0	826.0	6413.0	1582.0	2298.0	2985.0	6344.0	1368.0	361.0	428.0	93407.2	1189372.0	1582941.090089
sub-3613	664.0	2388.0	842.0	1628.0	1021.0	1018.0	6101.0	1586.0	2059.0	2502.0	5317.0	1334.0	353.0	363.0	86746.5	1138758.0	1507659.161024
sub-3614	610.0	2405.0	718.0	1396.0	907.0	838.0	5318.0	1537.0	1910.0	2986.0	5668.0	1432.0	496.0	520.0	83835.5	1066798.0	1466464.757419
sub-3615	711.0	2941.0	825.0	1604.0	1370.0	1164.0	7812.0	1683.0	3109.0	2614.0	6499.0	1450.0	498.0	567.0	107225.0	1320493.0	1809552.194087
sub-3620	585.0	2195.0	736.0	1437.0	896.0	818.0	5328.0	1439.0	1841.0	2265.0	4801.0	1187.0	329.0	420.0	83935.6	1115627.0	1567630.667703
sub-3624	717.0	3246.0	849.0	1748.0	1061.0	969.0	6338.0	1444.0	1795.0	2546.0	5524.0	1453.0	406.0	580.0	94209.6	1242054.0	1711917.308748
sub-3627	623.0	2570.0	782.0	1536.0	858.0	877.0	5972.0	1395.0	1895.0	2681.0	6019.0	1295.0	374.0	414.0	96480.8	1271922.0	1720225.095575
sub-3635	756.0	3111.0	836.0	1676.0	963.0	986.0	6426.0	1626.0	2270.0	2278.0	5730.0	2008.0	475.0	656.0	102471.0	1374248.0	1806403.207425
sub-3636	633.0	2696.0	758.0	1498.0	1018.0	870.0	5749.0	1342.0	2325.0	2869.0	5709.0	1340.0	427.0	489.0	90566.2	1178026.0	1608406.835235
sub-3637	642.0	2512.0	704.0	1551.0	983.0	824.0	5966.0	1291.0	1754.0	2185.0	4881.0	1135.0	383.0	462.0	82144.1	1043490.0	1385031.814016
sub-3750	723.0	3067.0	767.0	1680.0	1006.0	914.0	7463.0	1986.0	2038.0	2844.0	6018.0	1424.0	491.0	633.0	103661.0	1242495.0	1829108.11521
sub-3756	739.0	2832.0	802.0	1813.0	1118.0	1000.0	6892.0	1487.0	2355.0	2902.0	5742.0	1541.0	427.0	560.0	102116.0	1166395.0	1697443.460501
sub-3759	532.0	2448.0	664.0	1297.0	964.0	851.0	6543.0	1375.0	1902.0	2036.0	4839.0	916.0	367.0	413.0	80473.6	980833.0	1324377.2585
sub-3765	603.0	2456.0	718.0	1345.0	852.0	786.0	4853.0	1153.0	1512.0	2123.0	4487.0	976.0	318.0	370.0	76201.4	956163.0	1331668.716072
sub-3767	631.0	2642.0	697.0	1456.0	807.0	796.0	5469.0	1783.0	2749.0	2957.0	6065.0	1685.0	532.0	654.0	90619.1	1111458.0	1482417.752735
sub-3768	748.0	2927.0	790.0	1632.0	1122.0	954.0	6651.0	1734.0	2418.0	2789.0	5786.0	1453.0	385.0	497.0	94757.1	1189090.0	1711851.854273
sub-3769	633.0	3107.0	784.0	1617.0	928.0	902.0	5512.0	1381.0	1669.0	2159.0	5216.0	1566.0	332.0	396.0	88105.6	1023165.0	1459153.628129
sub-3779	837.0	2791.0	907.0	1864.0	1355.0	1126.0	7404.0	1662.0	2571.0	2268.0	5403.0	1692.0	639.0	732.0	102763.0	1258053.0	1843564.689981
sub-3803	610.0	2154.0	793.0	1485.0	925.0	844.0	5906.0	1999.0	2361.0	2030.0	4761.0	1219.0	451.0	641.0	85915.7	1034002.0	1477757.991102
sub-3804	632.0	2597.0	715.0	1538.0	927.0	890.0	5734.0	1439.0	1561.0	2965.0	5911.0	1402.0	423.0	561.0	92734.7	1079216.0	1446506.161759
sub-3805	576.0	2209.0	648.0	1303.0	823.0	780.0	4929.0	1171.0	1777.0	2377.0	4692.0	1266.0	365.0	452.0	77989.8	1008751.0	1325217.218464
sub-3806	587.0	2664.0	774.0	1507.0	925.0	928.0	5869.0	1243.0	1480.0	2423.0	5373.0	1330.0	366.0	431.0	82077.6	1001668.0	1378852.94245
sub-3807	592.0	2481.0	732.0	1312.0	886.0	853.0	5506.0	1142.0	1856.0	2265.0	5396.0	1322.0	332.0	389.0	85659.8	1131902.0	1534058.391503
sub-3809	609.0	2221.0	704.0	1414.0	855.0	793.0	6210.0	1459.0	1783.0	2894.0	6062.0	1286.0	390.0	451.0	87359.1	1100745.0	1513447.66005
sub-3811	933.0	3090.0	757.0	1776.0	1129.0	902.0	6429.0	1318.0	1763.0	2409.0	5626.0	1387.0	497.0	660.0	93348.8	1159948.0	1743581.168357
sub-3812	599.0	2316.0	725.0	1425.0	946.0	918.0	5502.0	1250.0	1336.0	2451.0	5149.0	1072.0	374.0	497.0	76940.4	966198.0	1332014.751895
sub-3813	754.0	2713.0	836.0	1658.0	1248.0	1049.0	7061.0	1374.0	1690.0	2329.0	5253.0	1609.0	345.0	496.0	91117.2	1069694.0	1533309.06124
sub-3816	661.0	2659.0	702.0	1448.0	929.0	811.0	6017.0	1533.0	1903.0	2601.0	5522.0	1400.0	382.0	498.0	89614.5	1120506.0	1594274.388073
sub-3817	635.0	2267.0	716.0	1401.0	1031.0	767.0	6327.0	1524.0	2488.0	2583.0	5684.0	1135.0	371.0	462.0	88079.2	1069093.0	1531423.721927
sub-3850	704.0	2507.0	784.0	1516.0	995.0	938.0	6151.0	1425.0	1818.0	2307.0	5420.0	1138.0	522.0	499.0	80360.4	1005951.0	1397323.809416
sub-3851	591.0	2299.0	714.0	1484.0	922.0	855.0	5773.0	1753.0	1805.0	1816.0	4283.0	1029.0	319.0	387.0	80785.8	993699.0	1373455.793974
sub-3852	677.0	2468.0	822.0	1691.0	1154.0	1037.0	6811.0	1963.0	1869.0	1371.0	3677.0	1464.0	345.0	398.0	90547.8	1066095.0	1627827.556423
sub-3853	680.0	2551.0	728.0	1530.0	937.0	839.0	6351.0	1062.0	1640.0	2341.0	5259.0	1320.0	345.0	444.0	90970.1	1105642.0	1484430.061982
sub-3854	708.0	3009.0	683.0	1548.0	923.0	878.0	6371.0	1236.0	2259.0	3193.0	6216.0	1265.0	463.0	628.0	96595.3	1246268.0	1639679.40429
sub-3855	563.0	2135.0	713.0	1394.0	928.0	895.0	5486.0	1199.0	2244.0	2451.0	5291.0	1206.0	418.0	561.0	86444.4	1070266.0	1490168.9519
sub-3857	509.0	1912.0	671.0	1244.0	871.0	763.0	5243.0	1009.0	1587.0	2024.0	4776.0	1050.0	327.0	418.0	76071.1	923704.0	1224845.801009
sub-3859	676.0	2394.0	803.0	1593.0	805.0	873.0	4827.0	1495.0	1875.0	2050.0	5343.0	1369.0	313.0	385.0	87048.9	1093625.0	1496401.414663
sub-4004	613.0	2114.0	668.0	1419.0	1039.0	738.0	6080.0	1342.0	1701.0	2584.0	5078.0	1447.0	328.0	393.0	84157.1	986114.0	1402578.950185
sub-4010	481.0	1847.0	739.0	1332.0	1038.0	877.0	6305.0	1328.0	1455.0	2317.0	4456.0	1033.0	339.0	418.0	80725.5	1070106.0	1453692.080473
sub-4018	677.0	2909.0	798.0	1460.0	1015.0	946.0	6399.0	1360.0	2458.0	2161.0	5365.0	1327.0	392.0	397.0	91871.8	1050746.0	1469438.251191
sub-4032	697.0	2479.0	746.0	1625.0	994.0	896.0	6034.0	1429.0	1876.0	2646.0	5321.0	1292.0	377.0	556.0	86922.9	991489.0	1345939.570579
sub-4067	752.0	2609.0	795.0	1653.0	1129.0	922.0	7383.0	1504.0	2412.0	2225.0	4999.0	1557.0	411.0	438.0	94386.5	1123070.0	1598247.41092
sub-4085	571.0	1832.0	738.0	1414.0	1004.0	949.0	6092.0	1470.0	1971.0	2336.0	5911.0	1447.0	450.0	617.0	83177.3	985185.0	1449533.278444
sub-4139	836.0	3786.0	905.0	1880.0	944.0	1062.0	6185.0	1239.0	1729.0	2441.0	5079.0	1336.0	413.0	561.0	92073.5	1004334.0	1543326.123461
