lh.aparc.area	lh_bankssts_area	lh_caudalanteriorcingulate_area	lh_caudalmiddlefrontal_area	lh_cuneus_area	lh_entorhinal_area	lh_fusiform_area	lh_inferiorparietal_area	lh_inferiortemporal_area	lh_isthmuscingulate_area	lh_lateraloccipital_area	lh_lateralorbitofrontal_area	lh_lingual_area	lh_medialorbitofrontal_area	lh_middletemporal_area	lh_parahippocampal_area	lh_paracentral_area	lh_parsopercularis_area	lh_parsorbitalis_area	lh_parstriangularis_area	lh_pericalcarine_area	lh_postcentral_area	lh_posteriorcingulate_area	lh_precentral_area	lh_precuneus_area	lh_rostralanteriorcingulate_area	lh_rostralmiddlefrontal_area	lh_superiorfrontal_area	lh_superiorparietal_area	lh_superiortemporal_area	lh_supramarginal_area	lh_frontalpole_area	lh_temporalpole_area	lh_transversetemporal_area	lh_insula_area	lh_WhiteSurfArea_area	BrainSegVolNotVent	eTIV
sub-3000	1025.0	770.0	2111.0	2031.0	493.0	3215.0	4684.0	3687.0	812.0	5848.0	2902.0	3480.0	1815.0	3688.0	641.0	1329.0	1653.0	746.0	1146.0	1591.0	4245.0	946.0	5100.0	3325.0	885.0	5205.0	6825.0	5401.0	4361.0	3741.0	248.0	334.0	397.0	2512.0	87180.8	1108330.0	1569766.840465
sub-3004	1134.0	686.0	1787.0	1401.0	494.0	3280.0	3985.0	4038.0	847.0	5144.0	3037.0	2432.0	1924.0	3821.0	728.0	1460.0	1416.0	648.0	1133.0	1204.0	4723.0	1108.0	5151.0	3975.0	858.0	5086.0	7636.0	5524.0	3947.0	4753.0	208.0	525.0	408.0	2483.0	86978.1	1175445.0	1617853.482109
sub-3008	1086.0	377.0	1399.0	1367.0	356.0	2981.0	4394.0	3152.0	787.0	4677.0	2666.0	2454.0	1815.0	2747.0	527.0	1074.0	1783.0	574.0	1334.0	1084.0	3550.0	951.0	3724.0	3333.0	525.0	4686.0	4892.0	4793.0	3951.0	3847.0	189.0	340.0	495.0	2092.0	73902.7	873285.0	1282019.510828
sub-3011	1297.0	772.0	2316.0	1272.0	525.0	3120.0	5071.0	4395.0	987.0	4635.0	3168.0	2611.0	2315.0	3669.0	775.0	1442.0	1994.0	694.0	1741.0	1259.0	4272.0	1181.0	4974.0	3551.0	1158.0	6463.0	7522.0	4837.0	4330.0	4259.0	230.0	555.0	447.0	2731.0	90545.0	1256798.0	1722963.923116
sub-3013	1073.0	394.0	2369.0	1308.0	455.0	3270.0	4773.0	3672.0	1277.0	5119.0	2854.0	2250.0	1772.0	3258.0	743.0	1587.0	1407.0	785.0	1281.0	839.0	4126.0	929.0	5528.0	4272.0	783.0	7384.0	8026.0	6100.0	3976.0	5042.0	233.0	436.0	503.0	2343.0	90164.2	1185073.0	1637599.895668
sub-3016	1339.0	580.0	2590.0	1472.0	577.0	3704.0	4792.0	4564.0	1060.0	5813.0	2735.0	2674.0	2083.0	3902.0	759.0	1503.0	1669.0	679.0	1321.0	1502.0	4458.0	1046.0	4794.0	4472.0	918.0	6095.0	7223.0	5605.0	4204.0	5699.0	228.0	457.0	392.0	2338.0	93240.3	1142925.0	1587662.051107
sub-3029	1020.0	422.0	2506.0	1656.0	501.0	2897.0	3672.0	3459.0	1072.0	4834.0	2113.0	2949.0	1884.0	2903.0	735.0	1304.0	1425.0	620.0	1020.0	1585.0	4024.0	992.0	5694.0	3585.0	662.0	5253.0	8032.0	5970.0	3380.0	4785.0	280.0	534.0	384.0	2298.0	84437.3	1131226.0	1591404.683586
sub-3104	859.0	551.0	1855.0	1608.0	394.0	3036.0	4731.0	2957.0	989.0	4975.0	2643.0	2916.0	1789.0	2811.0	705.0	1172.0	1705.0	636.0	1307.0	1227.0	3770.0	1119.0	4820.0	3645.0	903.0	4881.0	6365.0	5930.0	3669.0	3834.0	256.0	436.0	512.0	2718.0	81711.0	1017494.0	1530767.14906
sub-3106	647.0	410.0	1960.0	1370.0	495.0	2760.0	4135.0	2877.0	961.0	4702.0	2154.0	2564.0	1319.0	2812.0	682.0	1439.0	1603.0	561.0	1283.0	1220.0	4153.0	874.0	5264.0	3742.0	611.0	4653.0	7255.0	5444.0	3524.0	3328.0	234.0	372.0	448.0	2484.0	78329.3	967156.0	1540262.400118
sub-3112	863.0	432.0	1894.0	1574.0	519.0	2387.0	3082.0	2543.0	840.0	3702.0	1728.0	2376.0	1419.0	2149.0	610.0	939.0	1595.0	654.0	1247.0	1330.0	2592.0	879.0	3715.0	3599.0	386.0	5276.0	6556.0	3179.0	3237.0	2684.0	244.0	442.0	481.0	2305.0	67453.0	854197.0	1233595.151979
