Measure:volume	wm-lh-bankssts	wm-lh-caudalanteriorcingulate	wm-lh-caudalmiddlefrontal	wm-lh-cuneus	wm-lh-entorhinal	wm-lh-fusiform	wm-lh-inferiorparietal	wm-lh-inferiortemporal	wm-lh-isthmuscingulate	wm-lh-lateraloccipital	wm-lh-lateralorbitofrontal	wm-lh-lingual	wm-lh-medialorbitofrontal	wm-lh-middletemporal	wm-lh-parahippocampal	wm-lh-paracentral	wm-lh-parsopercularis	wm-lh-parsorbitalis	wm-lh-parstriangularis	wm-lh-pericalcarine	wm-lh-postcentral	wm-lh-posteriorcingulate	wm-lh-precentral	wm-lh-precuneus	wm-lh-rostralanteriorcingulate	wm-lh-rostralmiddlefrontal	wm-lh-superiorfrontal	wm-lh-superiorparietal	wm-lh-superiortemporal	wm-lh-supramarginal	wm-lh-frontalpole	wm-lh-temporalpole	wm-lh-transversetemporal	wm-lh-insula	wm-rh-bankssts	wm-rh-caudalanteriorcingulate	wm-rh-caudalmiddlefrontal	wm-rh-cuneus	wm-rh-entorhinal	wm-rh-fusiform	wm-rh-inferiorparietal	wm-rh-inferiortemporal	wm-rh-isthmuscingulate	wm-rh-lateraloccipital	wm-rh-lateralorbitofrontal	wm-rh-lingual	wm-rh-medialorbitofrontal	wm-rh-middletemporal	wm-rh-parahippocampal	wm-rh-paracentral	wm-rh-parsopercularis	wm-rh-parsorbitalis	wm-rh-parstriangularis	wm-rh-pericalcarine	wm-rh-postcentral	wm-rh-posteriorcingulate	wm-rh-precentral	wm-rh-precuneus	wm-rh-rostralanteriorcingulate	wm-rh-rostralmiddlefrontal	wm-rh-superiorfrontal	wm-rh-superiorparietal	wm-rh-superiortemporal	wm-rh-supramarginal	wm-rh-frontalpole	wm-rh-temporalpole	wm-rh-transversetemporal	wm-rh-insula	Left-UnsegmentedWhiteMatter	Right-UnsegmentedWhiteMatter	lhCerebralWhiteMatterVol	rhCerebralWhiteMatterVol	CerebralWhiteMatterVol	MaskVol	EstimatedTotalIntraCranialVol
sub-3172	2441.3	2993.5	6129.7	2826.8	895.5	6595.2	10382.3	6335.8	3827.7	10608.1	7283.1	5621.6	3706.2	5505.5	1542.3	4371.7	3584.6	1360.1	4174.4	3042.7	7136.7	4463.9	14324.3	8398.2	3036.0	13069.2	18971.1	12808.9	8398.1	8961.0	273.6	820.5	780.8	10877.3	2952.3	3232.4	6193.4	2819.2	825.6	6968.1	12948.0	6060.3	3494.2	11126.5	7667.9	5684.6	3826.8	5857.4	1394.9	5063.0	3480.6	1672.5	3621.5	3602.7	7393.5	4238.9	14172.2	9321.3	2192.9	13799.9	16640.9	11160.3	6714.7	7654.5	272.4	643.9	686.6	10295.3	30641.5	29267.3	234895.881343	232218.074593	467113.955936	1491039.0	1645046.07471
sub-3188	2830.8	2308.8	4671.1	1808.5	615.1	6192.7	6853.8	6019.4	3856.0	7820.5	6218.5	4995.1	2536.4	4509.4	1359.0	3635.0	2714.3	882.9	2492.8	2904.7	6919.9	4302.3	11571.5	8537.5	2762.2	9828.0	15675.9	9678.2	7793.8	10588.7	178.6	654.9	630.3	9682.0	2717.6	2571.0	4505.7	2130.2	684.6	5880.2	10283.5	5044.2	3005.4	8408.2	6426.4	5336.3	3055.1	5462.2	1581.6	4968.9	2838.3	982.0	2662.2	2576.2	7361.8	3964.9	11867.5	8973.3	1721.7	9244.1	14928.6	10777.8	6395.1	9173.3	283.1	709.9	461.2	8385.7	24661.6	24468.5	198137.336725	199450.732778	397588.069503	1310270.0	1411083.122871
sub-3191	1988.4	2118.6	6248.2	2498.7	387.0	5064.1	8181.7	5777.3	3960.5	10170.2	5669.6	5324.3	2959.0	3224.2	1211.6	2731.5	3281.2	773.6	2735.1	3560.4	6140.5	4139.9	12426.8	8146.8	1814.5	9576.7	15091.6	11052.3	6766.0	6485.7	222.8	509.0	652.8	9747.9	2190.4	2657.0	5628.9	2485.8	459.8	4761.2	9374.2	4784.8	3544.7	9486.3	5915.4	6473.4	3141.1	4609.6	1444.4	3818.5	2786.6	1194.4	3081.2	3392.0	6304.4	3752.7	11659.4	7808.0	1518.9	9772.8	13304.8	10291.5	5725.9	6975.0	345.7	499.4	455.9	10012.4	21863.8	21741.3	191969.607043	191011.882874	382981.489917	1250200.0	1316481.977243
sub-3257	3024.7	1598.1	11708.4	4164.8	1207.5	9653.8	14586.5	11420.9	2969.4	15401.8	10646.8	9089.8	8276.0	12078.8	2478.9	7011.0	6297.8	2601.0	5256.4	3858.5	13716.1	2736.4	24534.5	13118.5	1946.0	28244.4	41348.4	21997.3	16353.1	19779.6	714.5	1008.3	1453.6	13890.4	2372.1	1937.5	6613.6	2913.3	1723.7	11329.6	17211.2	13676.6	3168.5	16988.3	11052.9	7185.6	6493.9	12229.6	2043.6	7663.2	5259.3	3659.2	4734.0	3157.0	9085.1	3972.7	16111.9	14411.7	1655.4	31588.4	32487.9	22275.8	15030.0	9717.8	897.0	760.7	639.1	9871.1	110246.7	150291.4	464506.555586	468605.263842	933111.819428	1627534.0	1796076.608219
sub-3260	2986.6	2594.4	7898.7	3795.0	694.4	6671.2	10459.5	6896.1	3671.5	18136.6	8153.4	6556.6	3362.2	5715.3	1461.5	4108.0	3975.3	1528.6	4325.6	4344.2	10584.9	2897.4	18169.8	13298.4	2792.6	19012.0	23237.7	19242.2	8859.2	10237.5	209.8	526.1	1098.0	9589.7	3055.9	3687.8	7228.3	4183.8	871.4	6091.8	12506.4	6027.3	2810.2	14529.5	7914.8	6466.0	4321.4	6534.2	1636.6	5935.7	2660.8	1731.7	3639.0	5281.7	9637.7	3616.0	15825.4	11643.4	1897.0	19709.5	21278.0	15456.2	7530.2	9916.6	330.0	420.0	781.5	8711.7	25665.6	24686.6	270764.937465	255733.18943	526498.126894	1374988.0	1510075.588013
sub-3264	1744.1	1848.6	9530.2	2982.9	2478.4	10883.4	14524.0	8285.6	1669.9	18744.7	8232.4	8380.0	4596.9	8350.8	1398.5	6618.2	5461.0	1817.9	3673.2	5132.0	9895.8	2625.3	17157.6	10509.3	2276.6	26560.5	31965.4	18431.6	10122.8	13494.4	693.9	740.0	1629.2	9636.9	2129.3	2626.4	7825.2	2738.6	2564.9	9674.3	13205.1	8700.0	350.7	15140.9	8384.3	7828.0	3373.0	7492.0	2190.9	7569.1	4593.7	2755.1	4024.3	3778.8	12460.0	1881.3	20400.8	13527.8	1255.5	21812.6	33111.0	18285.8	7949.0	13813.7	801.4	743.8	1449.0	11769.3	109264.6	114509.7	397301.083992	397921.9504	795223.034392	1423467.0	1566172.153937
sub-3270	2812.5	2503.9	8225.4	2486.2	957.3	7159.9	10438.0	7486.3	2978.5	16657.2	9099.3	9045.0	4348.1	7249.2	1786.5	4346.2	4023.4	1679.4	3359.4	4911.2	9691.8	3360.6	19509.8	8243.5	3118.1	21845.9	25755.4	18571.2	11669.6	12297.1	298.3	388.4	943.2	10781.1	4319.6	3357.9	9600.7	3358.5	874.6	6994.9	10916.0	8116.0	2888.3	16819.6	8027.7	7285.1	4629.0	6531.7	1547.2	6286.4	4625.2	1647.5	4305.2	5829.4	10515.7	3527.6	21222.9	9366.6	1632.5	21239.4	24595.1	16406.0	9565.7	9652.7	529.6	404.8	668.4	10904.8	46652.4	45195.4	306632.711008	305377.356342	612010.067351	1382212.0	1546965.060867
sub-3271	3710.4	2693.0	9275.3	2988.9	1395.3	7297.1	14033.5	10389.1	4570.5	14137.2	9648.0	6938.0	4054.6	8731.4	1961.2	4368.6	5093.5	1728.1	4391.1	3757.6	11591.1	4758.2	18905.3	11698.9	2981.1	20671.0	22448.8	16357.2	11313.2	12368.2	271.2	910.5	1152.9	13315.2	3589.9	3117.4	8017.2	2712.2	1536.8	8940.9	15771.7	9039.3	3157.8	15399.8	7849.2	6891.7	4207.5	8570.2	1955.4	6058.1	4743.1	1541.3	5352.9	4177.1	12231.9	4311.6	20238.8	10703.0	1928.2	21357.7	25971.9	17970.2	12486.6	10806.4	278.8	653.3	1075.4	12618.6	49677.0	49947.2	318730.753724	324507.582033	643238.335756	1542982.0	1718214.935342
sub-3274	4776.1	3296.6	8808.5	3952.4	1883.1	12471.3	17841.6	16927.5	3931.6	19649.7	11699.7	10157.8	8133.3	15054.5	2758.0	7432.2	6071.0	2269.8	5348.7	5493.6	14194.6	5593.8	20766.4	15595.8	3780.3	29365.9	34501.9	18149.3	18834.4	19018.2	592.4	1440.4	2292.9	13056.8	4090.7	3722.2	10495.0	8192.4	2488.0	14956.1	24699.2	18588.6	720.1	25203.6	9472.2	9635.4	5510.2	15778.6	483.7	6129.3	5051.5	3770.8	4881.6	10329.4	13801.8	5828.6	28850.2	22839.6	2240.0	23179.8	29690.8	20695.9	16033.9	14603.2	809.3	1446.9	1097.8	20882.4	106141.5	82999.2	482454.23751	476221.350242	958675.587752	1808840.0	1996588.304558
sub-3276	6053.2	2986.3	9254.2	3513.2	635.6	6953.2	15304.3	6471.1	2629.5	18226.8	8947.7	7388.3	4941.8	7301.4	2811.2	5850.9	5340.4	2545.2	2619.3	2200.9	10190.2	4007.1	21408.8	10475.9	2585.9	18429.0	27964.3	14787.5	10465.3	13206.6	609.3	360.9	1680.4	11491.5	3931.9	2492.1	13306.3	5156.6	849.6	7354.4	19452.8	5468.0	2537.3	15782.8	8362.3	8284.4	4474.7	5887.5	1615.0	7692.2	4251.0	1913.3	4616.7	3673.8	11900.8	3794.1	20658.5	7327.8	1863.1	15061.3	31828.8	16090.7	9741.3	14408.2	533.9	350.2	1094.6	10443.4	56848.1	60562.6	327636.414367	332652.025106	660288.439474	1463930.0	1532799.083546
