rh.aparc.DKTatlas.area	rh_caudalanteriorcingulate_area	rh_caudalmiddlefrontal_area	rh_cuneus_area	rh_entorhinal_area	rh_fusiform_area	rh_inferiorparietal_area	rh_inferiortemporal_area	rh_isthmuscingulate_area	rh_lateraloccipital_area	rh_lateralorbitofrontal_area	rh_lingual_area	rh_medialorbitofrontal_area	rh_middletemporal_area	rh_parahippocampal_area	rh_paracentral_area	rh_parsopercularis_area	rh_parsorbitalis_area	rh_parstriangularis_area	rh_pericalcarine_area	rh_postcentral_area	rh_posteriorcingulate_area	rh_precentral_area	rh_precuneus_area	rh_rostralanteriorcingulate_area	rh_rostralmiddlefrontal_area	rh_superiorfrontal_area	rh_superiorparietal_area	rh_superiortemporal_area	rh_supramarginal_area	rh_transversetemporal_area	rh_insula_area	rh_WhiteSurfArea_area	BrainSegVolNotVent	eTIV
sub-3816	523.0	2305.0	2252.0	319.0	2417.0	5107.0	3835.0	990.0	5071.0	2873.0	3141.0	1291.0	4316.0	634.0	1547.0	1979.0	731.0	1535.0	1847.0	4214.0	1089.0	4183.0	4221.0	680.0	4259.0	8923.0	4717.0	4484.0	2999.0	279.0	1987.0	84745.6	1120506.0	1594274.388073
sub-3817	742.0	2186.0	1893.0	405.0	3299.0	4802.0	4057.0	1042.0	4635.0	3183.0	3009.0	1660.0	3632.0	682.0	1436.0	1738.0	777.0	1596.0	1580.0	4135.0	1078.0	4547.0	3632.0	783.0	3534.0	8533.0	4363.0	4006.0	2973.0	281.0	1980.0	82200.0	1069093.0	1531423.721927
sub-3850	772.0	2142.0	1893.0	447.0	2366.0	4364.0	3124.0	710.0	4842.0	2666.0	3478.0	1100.0	3594.0	666.0	1476.0	1218.0	533.0	991.0	1501.0	4123.0	1080.0	4800.0	3351.0	742.0	3294.0	7689.0	4051.0	3933.0	2737.0	246.0	1617.0	75542.6	1005951.0	1397323.809416
sub-3851	674.0	2109.0	1586.0	340.0	2059.0	4628.0	2826.0	806.0	4887.0	2615.0	3056.0	1440.0	3845.0	714.0	1547.0	1751.0	607.0	1570.0	1336.0	4222.0	1134.0	4579.0	3212.0	721.0	3848.0	8809.0	3447.0	4370.0	2975.0	277.0	1939.0	77931.0	993699.0	1373455.793974
sub-3852	543.0	2464.0	1679.0	434.0	2779.0	4826.0	3825.0	927.0	4339.0	2894.0	2492.0	1500.0	4185.0	807.0	1789.0	1708.0	733.0	1505.0	1183.0	4197.0	1267.0	5473.0	4286.0	920.0	3484.0	9056.0	4293.0	5221.0	3315.0	318.0	2675.0	85117.8	1066095.0	1627827.556423
sub-3853	772.0	2456.0	2008.0	393.0	2981.0	4894.0	3327.0	1034.0	4451.0	2844.0	2844.0	1630.0	4238.0	742.0	1368.0	1511.0	796.0	1581.0	1473.0	4924.0	1180.0	4464.0	4461.0	775.0	3970.0	9324.0	4698.0	4512.0	3230.0	301.0	2218.0	85398.7	1105642.0	1484430.061982
sub-3854	638.0	2080.0	2245.0	414.0	2875.0	4726.0	3248.0	834.0	6128.0	3436.0	3795.0	1583.0	4067.0	693.0	1762.0	1553.0	919.0	1717.0	2036.0	4506.0	1167.0	4539.0	4381.0	728.0	4752.0	10179.0	4956.0	5337.0	4302.0	394.0	2308.0	92297.7	1246268.0	1639679.40429
sub-3855	606.0	1429.0	2073.0	380.0	2508.0	4962.0	3236.0	1045.0	4814.0	2756.0	2678.0	1470.0	4263.0	605.0	1370.0	1649.0	775.0	1753.0	1600.0	4077.0	1021.0	3802.0	4468.0	660.0	3578.0	8808.0	4341.0	4822.0	3633.0	349.0	2164.0	81693.1	1070266.0	1490168.9519
sub-3857	622.0	1790.0	1843.0	376.0	2453.0	4523.0	3018.0	706.0	4291.0	2381.0	3009.0	1262.0	3516.0	684.0	1460.0	1193.0	642.0	1324.0	1437.0	3381.0	1015.0	3498.0	3320.0	627.0	3575.0	7659.0	3414.0	4377.0	2739.0	302.0	1873.0	72308.7	923704.0	1224845.801009
sub-3859	766.0	2114.0	1879.0	303.0	2672.0	5572.0	3807.0	811.0	4860.0	2886.0	2937.0	1391.0	4428.0	754.0	1491.0	1440.0	621.0	1165.0	1376.0	4260.0	1328.0	4216.0	3824.0	661.0	3642.0	8644.0	4196.0	4552.0	3404.0	341.0	2053.0	82393.1	1093625.0	1496401.414663
sub-4004	911.0	2347.0	1990.0	317.0	2328.0	4473.0	3088.0	828.0	4500.0	2652.0	2945.0	1632.0	3882.0	579.0	1391.0	1290.0	538.0	1242.0	1648.0	3763.0	1059.0	4604.0	3968.0	799.0	3464.0	8222.0	3955.0	4621.0	3229.0	284.0	2040.0	78589.6	986114.0	1402578.950185
sub-4010	737.0	2567.0	1429.0	302.0	2448.0	3893.0	3054.0	867.0	4987.0	2821.0	2645.0	1308.0	3702.0	657.0	1452.0	1445.0	577.0	1238.0	1097.0	3873.0	1144.0	4311.0	3778.0	729.0	3866.0	8818.0	3708.0	4291.0	2904.0	276.0	1854.0	76778.2	1070106.0	1453692.080473
sub-4018	918.0	2106.0	1919.0	406.0	2991.0	4659.0	3754.0	957.0	4911.0	3387.0	2954.0	1520.0	3745.0	718.0	1551.0	1559.0	669.0	1637.0	1455.0	4088.0	1150.0	4610.0	3745.0	752.0	4332.0	9168.0	3937.0	5250.0	4000.0	424.0	2324.0	85598.6	1050746.0	1469438.251191
sub-4032	647.0	1877.0	1966.0	406.0	2871.0	5153.0	3542.0	922.0	5103.0	2990.0	3584.0	1424.0	3803.0	737.0	1384.0	1575.0	547.0	1433.0	1759.0	4072.0	1015.0	4306.0	4114.0	645.0	4042.0	8400.0	4302.0	4862.0	3216.0	331.0	2092.0	83119.2	991489.0	1345939.570579
sub-4067	782.0	2842.0	1788.0	364.0	2902.0	5175.0	3804.0	949.0	4946.0	3226.0	2867.0	1487.0	4784.0	714.0	1467.0	1545.0	770.0	1253.0	1483.0	4722.0	1100.0	5180.0	4703.0	957.0	4328.0	10132.0	5052.0	5216.0	4080.0	380.0	2475.0	91472.0	1123070.0	1598247.41092
sub-4085	843.0	1902.0	2107.0	377.0	2470.0	3742.0	3398.0	886.0	4656.0	2450.0	2986.0	1436.0	3462.0	512.0	1748.0	1266.0	602.0	1305.0	1331.0	4194.0	1226.0	4834.0	3520.0	766.0	3586.0	8395.0	3297.0	4479.0	3644.0	364.0	2093.0	77874.6	985185.0	1449533.278444
sub-4139	771.0	2376.0	1695.0	416.0	2816.0	5783.0	3295.0	1111.0	4962.0	2917.0	3132.0	1376.0	4071.0	586.0	1342.0	1660.0	679.0	1236.0	1499.0	5309.0	1330.0	4957.0	4212.0	884.0	4028.0	8256.0	4853.0	4823.0	3564.0	337.0	2226.0	86502.4	1004334.0	1543326.123461
