lh.BA_exvivo.volume	lh_BA1_exvivo_volume	lh_BA2_exvivo_volume	lh_BA3a_exvivo_volume	lh_BA3b_exvivo_volume	lh_BA4a_exvivo_volume	lh_BA4p_exvivo_volume	lh_BA6_exvivo_volume	lh_BA44_exvivo_volume	lh_BA45_exvivo_volume	lh_V1_exvivo_volume	lh_V2_exvivo_volume	lh_MT_exvivo_volume	lh_perirhinal_exvivo_volume	lh_entorhinal_exvivo_volume	BrainSegVolNotVent	eTIV
sub-3000	1833.0	5894.0	1147.0	3241.0	3257.0	2548.0	17271.0	4483.0	4608.0	4839.0	14239.0	3496.0	1737.0	1062.0	1108330.0	1569766.840465
sub-3004	1769.0	6883.0	1317.0	3359.0	2990.0	2754.0	19845.0	3744.0	4563.0	4284.0	11249.0	4044.0	1858.0	1963.0	1175445.0	1617853.482109
sub-3008	1093.0	5173.0	868.0	2202.0	1813.0	1559.0	11887.0	3902.0	4442.0	2943.0	9234.0	3753.0	1760.0	1241.0	873285.0	1282019.510828
sub-3011	1732.0	6579.0	1298.0	3594.0	3275.0	2779.0	19022.0	4827.0	8726.0	4378.0	11476.0	4114.0	1881.0	1634.0	1256798.0	1722963.923116
sub-3013	1538.0	5251.0	1235.0	3078.0	2972.0	2573.0	18653.0	3464.0	4755.0	2766.0	9938.0	3481.0	1714.0	1298.0	1185073.0	1637599.895668
sub-3016	1949.0	7477.0	1075.0	3350.0	2694.0	2148.0	17512.0	4511.0	5985.0	4417.0	11562.0	3441.0	1772.0	2137.0	1142925.0	1587662.051107
sub-3029	1491.0	5803.0	974.0	2968.0	2587.0	2097.0	19492.0	4162.0	4222.0	4835.0	12027.0	2825.0	1804.0	1545.0	1131226.0	1591404.683586
sub-3104	1923.0	5148.0	1265.0	3199.0	2826.0	2393.0	17176.0	3987.0	6017.0	3921.0	12696.0	3773.0	1932.0	1481.0	1017494.0	1530767.14906
sub-3106	1637.0	5270.0	1051.0	3448.0	3024.0	1856.0	18778.0	3962.0	5961.0	3878.0	10158.0	3360.0	1333.0	1773.0	967156.0	1540262.400118
sub-3112	1226.0	2926.0	871.0	2737.0	1517.0	1102.0	12271.0	5159.0	5994.0	3712.0	9631.0	2460.0	1432.0	1801.0	854197.0	1233595.151979
sub-3114	1351.0	4580.0	1105.0	2994.0	2834.0	1869.0	15104.0	3309.0	3517.0	5048.0	10883.0	3421.0	1602.0	1498.0	905428.0	1287590.079589
sub-3115	2707.0	7900.0	1220.0	4294.0	3357.0	2298.0	19892.0	4823.0	5134.0	4303.0	10746.0	3440.0	2012.0	2460.0	1169364.0	1636462.312859
sub-3151	1859.0	5276.0	1066.0	3353.0	2769.0	1985.0	18134.0	4711.0	5112.0	3480.0	11093.0	3057.0	2039.0	1285.0	1080730.0	1520893.531615
sub-3156	1695.0	4572.0	1029.0	3350.0	3122.0	2111.0	18292.0	4112.0	4687.0	3440.0	10248.0	3637.0	1763.0	1535.0	1032323.0	1558956.244154
sub-3157	2041.0	5694.0	989.0	3137.0	2744.0	1973.0	16270.0	4378.0	4900.0	3546.0	8736.0	3050.0	1517.0	2138.0	878085.0	1183410.395238
sub-3160	2108.0	6202.0	1195.0	3485.0	2607.0	2043.0	18443.0	3849.0	5064.0	3696.0	10833.0	3608.0	2337.0	2747.0	1133731.0	1809287.539735
sub-3161	1754.0	5456.0	1038.0	3007.0	3205.0	2065.0	18544.0	4103.0	6170.0	4377.0	12915.0	3220.0	1549.0	1625.0	1193640.0	1692612.828334
sub-3165	1998.0	5917.0	1109.0	3371.0	3356.0	2449.0	17976.0	4128.0	6037.0	4737.0	12050.0	3724.0	1813.0	1952.0	1082889.0	1450955.030984
sub-3169	1470.0	4964.0	1057.0	2628.0	2941.0	2136.0	19548.0	4634.0	5728.0	5620.0	14227.0	3226.0	1622.0	1198.0	1155226.0	1639347.801568
sub-3171	1496.0	5656.0	1080.0	3136.0	3175.0	2213.0	19447.0	4625.0	4424.0	3800.0	11448.0	3757.0	2373.0	1921.0	1118880.0	1574591.31877
sub-3172	1858.0	5677.0	1084.0	3061.0	2861.0	2067.0	18008.0	4196.0	6081.0	4457.0	11706.0	3843.0	1878.0	1971.0	1103831.0	1645046.07471
sub-3188	1930.0	5774.0	923.0	3047.0	2800.0	1817.0	16514.0	3486.0	4584.0	3975.0	10324.0	2950.0	1674.0	1751.0	967339.0	1411083.122871
sub-3191	1760.0	5676.0	987.0	2873.0	2778.0	1909.0	17769.0	4512.0	4891.0	4865.0	12820.0	4743.0	1459.0	1273.0	970695.0	1316481.977243
sub-3257	1575.0	4920.0	662.0	2243.0	2040.0	918.0	14141.0	2387.0	3337.0	2608.0	6096.0	2203.0	1121.0	807.0	1400587.0	1796076.608219
sub-3260	1150.0	4474.0	723.0	2354.0	1453.0	997.0	11314.0	3399.0	6274.0	3139.0	9565.0	3697.0	1450.0	1508.0	1111691.0	1510075.588013
